# cfh_batch: enumerating strict hypothesis-meeting (A,k) and certifying
# max_base=12, sizes [3, 5], k in [1, 2]
# A                              k   R        c*           T*           step    
  {3,4,5,9,10}                   2   1.319    898          2187         5       
  {3,4,5,9,11}                   1   1.308    10           16           6       
  {3,4,5,9,11}                   2   1.308    913          1331         6       
  {3,4,5,9,12}                   1   1.299    11           16           6       
  {3,4,5,9,12}                   2   1.299    977          1728         6       
  {3,4,5,10,11}                  1   1.294    6            16           6       
  {3,4,5,10,11}                  2   1.294    928          1331         6       
  {3,4,5,10,12}                  1   1.285    11           16           6       
  {3,4,5,10,12}                  2   1.285    880          1728         5       
  {3,4,5,11,12}                  1   1.274    22           64           5       
  {3,4,5,11,12}                  2   1.274    664          1331         6       
  {3,4,6,7,8}                    1   1.343    5            16           6       
  {3,4,6,7,8}                    2   1.343    574          1296         6       
  {3,4,6,7,9}                    1   1.325    8            16           7       
  {3,4,6,7,9}                    2   1.325    420          1296         7       
  {3,4,6,7,10}                   1   1.311    8            16           6       
  {3,4,6,7,10}                   2   1.311    1013         1296         6       
  {3,4,6,7,11}                   1   1.3      8            16           6       
  {3,4,6,7,11}                   2   1.3      541          1296         5       
  {3,4,6,7,12}                   1   1.291    8            16           6       
  {3,4,6,7,12}                   2   1.291    442          1296         6       
  {3,4,6,8,9}                    1   1.301    5            16           7       
  {3,4,6,8,9}                    2   1.301    1086         1296         7       
  {3,4,6,8,10}                   1   1.287    5            16           7       
  {3,4,6,8,10}                   2   1.287    1186         1296         7       
  {3,4,6,8,11}                   1   1.276    5            16           6       
  {3,4,6,8,11}                   2   1.276    743          1296         6       
  {3,4,6,8,12}                   1   1.267    5            16           6       
  {3,4,6,8,12}                   2   1.267    1086         4096         5       
  {3,4,6,9,10}                   1   1.269    11           16           7       
  {3,4,6,9,10}                   2   1.269    1122         1296         7       
  {3,4,6,9,11}                   1   1.258    8            16           7       
  {3,4,6,9,11}                   2   1.258    1095         1296         7       
  {3,4,6,9,12}                   1   1.249    17           64           7       
  {3,4,6,9,12}                   2   1.249    2535         6561         6       
  {3,4,6,10,11}                  1   1.244    8            16           7       
  {3,4,6,10,11}                  2   1.244    1159         1296         7       
  {3,4,6,10,12}                  1   1.235    11           16           7       
  {3,4,6,10,12}                  2   1.235    1263         4096         7       
  {3,4,6,11,12}                  1   1.224    8            16           7       
  {3,4,6,11,12}                  2   1.224    1171         4096         7       
  {3,4,7,8,9}                    1   1.268    6            16           7       
  {3,4,7,8,9}                    2   1.268    951          2187         6       
  {3,4,7,8,10}                   1   1.254    6            16           7       
  {3,4,7,8,10}                   2   1.254    834          2187         5       
  {3,4,7,8,11}                   1   1.243    6            16           7       
  {3,4,7,8,11}                   2   1.243    1090         1331         6       
  {3,4,7,8,12}                   1   1.234    6            16           6       
  {3,4,7,8,12}                   2   1.234    1095         4096         7       
  {3,4,7,9,10}                   1   1.236    15           27           6       
  {3,4,7,9,10}                   2   1.236    1135         2187         6       
  {3,4,7,9,11}                   1   1.225    17           49           5       
  {3,4,7,9,11}                   2   1.225    1616         4096         7       
  {3,4,7,9,12}                   1   1.216    17           49           5       
  {3,4,7,9,12}                   2   1.216    1279         4096         7       
  {3,4,7,10,11}                  1   1.211    8            16           7       
  {3,4,7,10,11}                  2   1.211    1168         1331         6       
  {3,4,7,10,12}                  1   1.202    18           49           5       
  {3,4,7,10,12}                  2   1.202    1785         4096         7       
  {3,4,7,11,12}                  1   1.191    17           27           6       
  {3,4,7,11,12}                  2   1.191    1442         4096         7       
  {3,4,8,9,10}                   1   1.212    6            64           5       
  {3,4,8,9,10}                   2   1.212    1123         2187         6       
  {3,4,8,9,11}                   1   1.201    10           64           5       
  {3,4,8,9,11}                   2   1.201    2282         6561         6       
  {3,4,8,9,12}                   1   1.192    78           243          6       
  {3,4,8,9,12}                   2   1.192    4019         16384        7       
  {3,4,8,10,11}                  1   1.187    6            64           5       
  {3,4,8,10,11}                  2   1.187    1071         1331         7       
  {3,4,8,10,12}                  1   1.178    6            64           5       
  {3,4,8,10,12}                  2   1.178    1698         4096         7       
  {3,4,8,11,12}                  1   1.167    10           64           5       
  {3,4,8,11,12}                  2   1.167    3074         14641        5       
  {3,4,9,10,11}                  1   1.169    8            64           5       
  {3,4,9,10,11}                  2   1.169    1864         4096         7       
  {3,4,9,10,12}                  1   1.16     11           64           5       
  {3,4,9,10,12}                  2   1.16     1806         4096         7       
  {3,4,9,11,12}                  1   1.149    74           243          8       
  {3,4,9,11,12}                  2   1.149    2426         6561         6       
  {3,4,10,11,12}                 1   1.135    8            64           6       
  {3,4,10,11,12}                 2   1.135    1887         4096         7       
  {3,5,6,7,8}                    1   1.26     4            25           5       
  {3,5,6,7,8}                    2   1.26     679          729          6       
  {3,5,6,7,9}                    1   1.242    4            25           6       
  {3,5,6,7,9}                    2   1.242    663          1296         7       
  {3,5,6,7,10}                   1   1.228    4            25           5       
  {3,5,6,7,10}                   2   1.228    934          1296         7       
  {3,5,6,7,11}                   1   1.217    4            25           5       
  {3,5,6,7,11}                   2   1.217    982          6561         6       
  {3,5,6,7,12}                   1   1.208    4            25           5       
  {3,5,6,7,12}                   2   1.208    1077         6561         6       
  {3,5,6,8,9}                    1   1.218    10           64           6       
  {3,5,6,8,9}                    2   1.218    1409         3125         6       
  {3,5,6,8,10}                   1   1.204    7            25           6       
  {3,5,6,8,10}                   2   1.204    2344         6561         6       
  {3,5,6,8,11}                   1   1.193    21           64           6       
  {3,5,6,8,11}                   2   1.193    1337         3125         7       
  {3,5,6,8,12}                   1   1.184    10           64           6       
  {3,5,6,8,12}                   2   1.184    1553         3125         7       
  {3,5,6,9,10}                   1   1.186    7            25           6       
  {3,5,6,9,10}                   2   1.186    1626         6561         6       
  {3,5,6,9,11}                   1   1.175    13           81           6       
  {3,5,6,9,11}                   2   1.175    2889         14641        7       
  {3,5,6,9,12}                   1   1.166    22           81           6       
  {3,5,6,9,12}                   2   1.166    9950         46656        6       
  {3,5,6,10,11}                  1   1.161    7            25           7       
  {3,5,6,10,11}                  2   1.161    1289         6561         6       
  {3,5,6,10,12}                  1   1.152    7            25           7       
  {3,5,6,10,12}                  2   1.152    1824         6561         6       
  {3,5,6,11,12}                  1   1.141    13           81           6       
  {3,5,6,11,12}                  2   1.141    1679         6561         6       
  {3,5,7,8,9}                    1   1.185    6            25           6       
  {3,5,7,8,9}                    2   1.185    1160         3125         7       
  {3,5,7,8,10}                   1   1.171    6            25           7       
  {3,5,7,8,10}                   2   1.171    1192         3125         7       
  {3,5,7,8,11}                   1   1.16     6            25           7       
  {3,5,7,8,11}                   2   1.16     1355         3125         8       
  {3,5,7,8,12}                   1   1.15     6            25           7       
  {3,5,7,8,12}                   2   1.15     2371         3125         8       
  {3,5,7,9,10}                   1   1.153    11           49           6       
  {3,5,7,9,10}                   2   1.153    3019         15625        8       
  {3,5,7,9,11}                   1   1.142    31           81           6       
  {3,5,7,9,11}                   2   1.142    1665         6561         6       
  {3,5,7,9,12}                   1   1.133    13           49           7       
  {3,5,7,9,12}                   2   1.133    2521         6561         6       
  {3,5,7,10,11}                  1   1.128    6            25           7       
  {3,5,7,10,11}                  2   1.128    2568         6561         6       
  {3,5,7,10,12}                  1   1.119    23           49           7       
  {3,5,7,10,12}                  2   1.119    2409         6561         6       
  {3,5,7,11,12}                  1   1.108    13           49           7       
  {3,5,7,11,12}                  2   1.108    1846         14641        5       
  {3,5,8,9,10}                   1   1.129    7            25           7       
  {3,5,8,9,10}                   2   1.129    3660         15625        7       
  {3,5,8,9,11}                   1   1.118    15           64           6       
  {3,5,8,9,11}                   2   1.118    3500         6561         8       
  {3,5,8,9,12}                   1   1.109    19           81           9       
  {3,5,8,9,12}                   2   1.109    5344         15625        7       
  {3,5,8,10,11}                  1   1.104    7            25           8       
  {3,5,8,10,11}                  2   1.104    2119         6561         7       
  {3,5,8,10,12}                  1   1.095    7            25           8       
  {3,5,8,10,12}                  2   1.095    2884         6561         8       
  {3,5,8,11,12}                  1   1.084    82           512          8       
  {3,5,8,11,12}                  2   1.084    2075         3125         8       
  {3,5,9,10,11}                  1   1.086    7            81           6       
  {3,5,9,10,11}                  2   1.086    10353        59049        6       
  {3,5,9,10,12}                  1   1.077    16           625          7       
  {3,5,9,10,12}                  2   1.077    11337        59049        7       
  {3,5,9,11,12}                  1   1.066    103          625          7       
  {3,5,9,11,12}                  2   1.066    14019        59049        9       
  {3,5,10,11,12}                 1   1.052    7            81           6       
  {3,5,10,11,12}                 2   1.052    2284         6561         8       
  {3,6,7,8,9}                    1   1.135    5            27           6       
  {3,6,7,8,9}                    2   1.135    3112         6561         7       
  {3,6,7,8,10}                   1   1.121    5            27           6       
  {3,6,7,8,10}                   2   1.121    2519         4096         7       
  {3,6,7,8,11}                   1   1.11     5            27           6       
  {3,6,7,8,11}                   2   1.11     2463         4096         8       
  {3,6,7,8,12}                   1   1.1      5            27           7       
  {3,6,7,8,12}                   2   1.1      3534         6561         8       
  {3,6,7,9,10}                   1   1.103    14           49           7       
  {3,6,7,9,10}                   2   1.103    9242         16807        8       
  {3,6,7,9,11}                   1   1.092    8            27           8       
  {3,6,7,9,11}                   2   1.092    10041        46656        7       
  {3,6,7,9,12}                   1   1.083    53           216          9       
  {3,6,7,9,12}                   2   1.083    25332        117649       8       
  {3,6,7,10,11}                  1   1.078    8            27           8       
  {3,6,7,10,11}                  2   1.078    2392         14641        9       
  {3,6,7,10,12}                  1   1.069    14           49           8       
  {3,6,7,10,12}                  2   1.069    9160         46656        8       
  {3,6,7,11,12}                  1   1.058    8            27           9       
  {3,6,7,11,12}                  2   1.058    15444        46656        9       
  {3,6,8,9,10}                   1   1.079    7            27           8       
  {3,6,8,9,10}                   2   1.079    1075804      4782969      8       
  {3,6,8,9,11}                   1   1.068    16           64           9       
  {3,6,8,9,11}                   2   1.068    14740        32768        8       
  {3,6,8,9,12}                   1   1.059    61           216          9       
  {3,6,8,9,12}                   2   1.059    499151291    1073741824   9       
  {3,6,8,10,11}                  1   1.054    7            27           8       
  {3,6,8,10,11}                  2   1.054    6839         14641        10      
  {3,6,8,10,12}                  1   1.045    7            27           9       
  {3,6,8,10,12}                  2   1.045    295422       531441       10      
  {3,6,8,11,12}                  1   1.034    16           64           10      
  {3,6,8,11,12}                  2   1.034    12192        20736        10      
  {3,6,9,10,11}                  1   1.036    8            27           10      
  {3,6,9,10,11}                  2   1.036    15424        100000       10      
  {3,6,9,10,12}                  1   1.027    107          729          9       
  {3,6,9,10,12}                  2   1.027    —          —          —       (no cert)
  {3,6,9,11,12}                  1   1.016    118          729          10      
  {3,6,9,11,12}                  2   1.016    167126       531441       12      
  {3,6,10,11,12}                 1   1.002    8            27           18      
  {3,6,10,11,12}                 2   1.002    15605        46656        18      
  {3,7,8,9,10}                   1   1.046    50           81           11      
  {3,7,8,9,10}                   2   1.046    9789         32768        10      
  {3,7,8,9,11}                   1   1.035    13           81           11      
  {3,7,8,9,11}                   2   1.035    14457        32768        10      
  {3,7,8,9,12}                   1   1.025    62           243          11      
  {3,7,8,9,12}                   2   1.025    17749        20736        12      
