# cfh_batch: enumerating strict hypothesis-meeting (A,k) and certifying
# max_base=20, sizes [3, 5], k in [1, 2]
# A                              k   R        c*           T*           step    
  {3,4,9,14}                     1   1.035    155          2187         7       
  {3,4,9,14}                     2   1.035    54188        531441       8       
  {3,4,9,15}                     1   1.03     231          2187         7       
  {3,4,9,15}                     2   1.03     64183        531441       8       
  {3,4,9,16}                     1   1.025    241          2187         7       
  {3,4,9,16}                     2   1.025    3948300      43046721     8       
  {3,4,9,17}                     1   1.021    241          2187         10      
  {3,4,9,17}                     2   1.021    73191        177147       10      
  {3,4,9,18}                     1   1.017    318          2187         10      
  {3,4,9,18}                     2   1.017    1065329      4194304      9       
  {3,4,9,19}                     1   1.014    241          2187         10      
  {3,4,9,19}                     2   1.014    189870       1048576      11      
  {3,4,9,20}                     1   1.011    240          729          10      
  {3,4,9,20}                     2   1.011    132566       531441       10      
  {3,4,10,11}                    1   1.044    72           243          8       
  {3,4,10,11}                    2   1.044    15602        100000       9       
  {3,4,10,12}                    1   1.035    82           243          9       
  {3,4,10,12}                    2   1.035    6766         59049        7       
  {3,4,10,13}                    1   1.028    61           169          9       
  {3,4,10,13}                    2   1.028    19627        100000       9       
  {3,4,10,14}                    1   1.021    75           729          8       
  {3,4,10,14}                    2   1.021    9975         38416        10      
  {3,4,10,15}                    1   1.016    63           729          10      
  {3,4,10,15}                    2   1.016    50006        100000       10      
  {3,4,10,16}                    1   1.011    251          2187         11      
  {3,4,10,16}                    2   1.011    74767        177147       11      
  {3,4,10,17}                    1   1.007    75           729          10      
  {3,4,10,17}                    2   1.007    69861        177147       13      
  {3,4,10,18}                    1   1.003    79           729          14      
  {3,4,10,18}                    2   1.003    68666        177147       15      
  {3,4,11,12}                    1   1.024    86           243          9       
  {3,4,11,12}                    2   1.024    16896        161051       8       
  {3,4,11,13}                    1   1.017    62           169          10      
  {3,4,11,13}                    2   1.017    18919        59049        10      
  {3,4,11,14}                    1   1.01     143          729          10      
  {3,4,11,14}                    2   1.01     17679        59049        12      
  {3,4,11,15}                    1   1.005    48           225          13      
  {3,4,11,15}                    2   1.005    17911        161051       13      
  {3,4,12,13}                    1   1.008    155          729          11      
  {3,4,12,13}                    2   1.008    21419        59049        13      
  {3,4,12,14}                    1   1.001    155          729          16      
  {3,4,12,14}                    2   1.001    57662        531441       16      
  {3,5,6,7}                      1   1.117    29           49           7       
  {3,5,6,7}                      2   1.117    2318         6561         5       
  {3,5,6,8}                      1   1.093    29           81           7       
  {3,5,6,8}                      2   1.093    5740         15625        6       
  {3,5,6,9}                      1   1.075    22           216          7       
  {3,5,6,9}                      2   1.075    51882        177147       7       
  {3,5,6,10}                     1   1.061    29           216          8       
  {3,5,6,10}                     2   1.061    9354         46656        6       
  {3,5,6,11}                     1   1.05     24           216          8       
  {3,5,6,11}                     2   1.05     15207        161051       8       
  {3,5,6,12}                     1   1.041    22           216          8       
  {3,5,6,12}                     2   1.041    17565        177147       8       
  {3,5,6,13}                     1   1.033    62           169          9       
  {3,5,6,13}                     2   1.033    9246         28561        9       
  {3,5,6,14}                     1   1.027    24           196          9       
  {3,5,6,14}                     2   1.027    18049        46656        11      
  {3,5,6,15}                     1   1.021    22           81           9       
  {3,5,6,15}                     2   1.021    47742        177147       9       
  {3,5,6,16}                     1   1.017    65           625          10      
  {3,5,6,16}                     2   1.017    8334         177147       9       
  {3,5,6,17}                     1   1.013    207          625          10      
  {3,5,6,17}                     2   1.013    45672        177147       11      
  {3,5,6,18}                     1   1.009    22           81           11      
  {3,5,6,18}                     2   1.009    62897        1594323      8       
  {3,5,6,19}                     1   1.006    190          361          14      
  {3,5,6,19}                     2   1.006    44772        130321       13      
  {3,5,6,20}                     1   1.003    210          729          16      
  {3,5,6,20}                     2   1.003    61175        1594323      12      
  {3,5,7,8}                      1   1.06     53           81           7       
  {3,5,7,8}                      2   1.06     3044         32768        8       
  {3,5,7,9}                      1   1.042    112          343          9       
  {3,5,7,9}                      2   1.042    77373        390625       6       
  {3,5,7,10}                     1   1.028    23           81           8       
  {3,5,7,10}                     2   1.028    15411        100000       9       
  {3,5,7,11}                     1   1.017    31           243          9       
  {3,5,7,11}                     2   1.017    17012        117649       11      
  {3,5,7,12}                     1   1.008    131          343          12      
  {3,5,7,12}                     2   1.008    75679        177147       12      
  {3,5,8,9}                      1   1.018    88           729          12      
  {3,5,8,9}                      2   1.018    61691        390625       11      
  {3,5,8,10}                     1   1.004    58           512          12      
  {3,5,8,10}                     2   1.004    16215        59049        12      
  {3,6,7,8}                      1   1.01     32           216          11      
  {3,6,7,8}                      2   1.01     20544        46656        12      
  {3,4,5,6,7}                    1   1.45     2            16           5       
  {3,4,5,6,7}                    2   1.45     312          343          5       
  {3,4,5,6,8}                    1   1.426    2            16           4       
  {3,4,5,6,8}                    2   1.426    516          729          5       
  {3,4,5,6,9}                    1   1.408    2            16           5       
  {3,4,5,6,9}                    2   1.408    852          1296         6       
  {3,4,5,6,10}                   1   1.394    2            16           5       
  {3,4,5,6,10}                   2   1.394    925          1296         6       
  {3,4,5,6,11}                   1   1.383    2            16           5       
  {3,4,5,6,11}                   2   1.383    419          729          5       
  {3,4,5,6,12}                   1   1.374    2            16           5       
  {3,4,5,6,12}                   2   1.374    327          729          6       
  {3,4,5,6,13}                   1   1.367    2            16           6       
  {3,4,5,6,13}                   2   1.367    309          625          4       
  {3,4,5,6,14}                   1   1.36     2            16           6       
  {3,4,5,6,14}                   2   1.36     298          625          4       
  {3,4,5,6,15}                   1   1.355    2            16           6       
  {3,4,5,6,15}                   2   1.355    807          1296         6       
  {3,4,5,6,16}                   1   1.35     2            16           6       
  {3,4,5,6,16}                   2   1.35     543          729          5       
  {3,4,5,6,17}                   1   1.346    2            16           6       
  {3,4,5,6,17}                   2   1.346    543          1296         6       
  {3,4,5,6,18}                   1   1.342    2            16           6       
  {3,4,5,6,18}                   2   1.342    743          1296         6       
  {3,4,5,6,19}                   1   1.339    2            16           6       
  {3,4,5,6,19}                   2   1.339    916          1296         6       
  {3,4,5,6,20}                   1   1.336    2            16           6       
  {3,4,5,6,20}                   2   1.336    916          1296         6       
  {3,4,5,7,8}                    1   1.393    6            16           6       
  {3,4,5,7,8}                    2   1.393    391          729          7       
  {3,4,5,7,9}                    1   1.375    6            16           5       
  {3,4,5,7,9}                    2   1.375    391          729          6       
  {3,4,5,7,10}                   1   1.361    6            16           5       
  {3,4,5,7,10}                   2   1.361    327          729          6       
  {3,4,5,7,11}                   1   1.35     6            16           6       
  {3,4,5,7,11}                   2   1.35     325          343          5       
  {3,4,5,7,12}                   1   1.341    6            16           6       
  {3,4,5,7,12}                   2   1.341    287          343          5       
  {3,4,5,7,13}                   1   1.333    6            16           6       
  {3,4,5,7,13}                   2   1.333    312          343          6       
  {3,4,5,7,14}                   1   1.327    6            16           6       
  {3,4,5,7,14}                   2   1.327    300          343          6       
  {3,4,5,7,15}                   1   1.321    6            16           6       
  {3,4,5,7,15}                   2   1.321    543          729          7       
  {3,4,5,7,16}                   1   1.317    22           49           4       
  {3,4,5,7,16}                   2   1.317    543          729          7       
  {3,4,5,7,17}                   1   1.312    6            16           6       
  {3,4,5,7,17}                   2   1.312    391          729          6       
  {3,4,5,7,18}                   1   1.309    6            16           6       
  {3,4,5,7,18}                   2   1.309    577          729          6       
  {3,4,5,7,19}                   1   1.306    6            16           6       
  {3,4,5,7,19}                   2   1.306    570          729          6       
  {3,4,5,7,20}                   1   1.303    22           49           4       
  {3,4,5,7,20}                   2   1.303    543          729          6       
  {3,4,5,8,9}                    1   1.351    10           25           6       
  {3,4,5,8,9}                    2   1.351    736          2187         6       
  {3,4,5,8,10}                   1   1.337    6            16           6       
  {3,4,5,8,10}                   2   1.337    591          2187         5       
  {3,4,5,8,11}                   1   1.326    10           16           6       
  {3,4,5,8,11}                   2   1.326    824          1331         6       
  {3,4,5,8,12}                   1   1.317    10           16           6       
  {3,4,5,8,12}                   2   1.317    719          729          7       
  {3,4,5,8,13}                   1   1.31     10           25           6       
  {3,4,5,8,13}                   2   1.31     824          2187         5       
  {3,4,5,8,14}                   1   1.303    10           16           6       
  {3,4,5,8,14}                   2   1.303    703          2187         5       
  {3,4,5,8,15}                   1   1.298    10           16           6       
  {3,4,5,8,15}                   2   1.298    736          729          7       
  {3,4,5,8,16}                   1   1.293    10           16           6       
  {3,4,5,8,16}                   2   1.293    1223         3125         5       
  {3,4,5,8,17}                   1   1.289    10           25           6       
