# cfh_batch: enumerating strict hypothesis-meeting (A,k) and certifying
# max_base=20, sizes [3, 5], k in [1, 2]
# A                              k   R        c*           T*           step    
  {3,4,11,14,17}                 1   1.073    22           81           8       
  {3,4,11,14,17}                 2   1.073    2754         14641        7       
  {3,4,11,14,18}                 1   1.069    10           64           7       
  {3,4,11,14,18}                 2   1.069    3362         5832         9       
  {3,4,11,14,19}                 1   1.066    10           64           7       
  {3,4,11,14,19}                 2   1.066    3872         14641        9       
  {3,4,11,14,20}                 1   1.063    22           81           9       
  {3,4,11,14,20}                 2   1.063    2818         6561         8       
  {3,4,11,15,16}                 1   1.071    37           81           8       
  {3,4,11,15,16}                 2   1.071    6530         50625        7       
  {3,4,11,15,17}                 1   1.067    10           64           7       
  {3,4,11,15,17}                 2   1.067    3848         14641        8       
  {3,4,11,15,18}                 1   1.064    17           64           7       
  {3,4,11,15,18}                 2   1.064    3623         5832         9       
  {3,4,11,15,19}                 1   1.06     21           81           9       
  {3,4,11,15,19}                 2   1.06     4543         14641        9       
  {3,4,11,15,20}                 1   1.057    37           81           9       
  {3,4,11,15,20}                 2   1.057    4087         14641        9       
  {3,4,11,16,17}                 1   1.063    22           81           9       
  {3,4,11,16,17}                 2   1.063    5698         14641        9       
  {3,4,11,16,18}                 1   1.059    26           81           9       
  {3,4,11,16,18}                 2   1.059    63178        104976       10      
  {3,4,11,16,19}                 1   1.056    21           81           9       
  {3,4,11,16,19}                 2   1.056    8222         59049        7       
  {3,4,11,16,20}                 1   1.053    69           400          9       
  {3,4,11,16,20}                 2   1.053    12480        160000       9       
  {3,4,11,17,18}                 1   1.055    10           64           8       
  {3,4,11,17,18}                 2   1.055    5433         14641        9       
  {3,4,11,17,19}                 1   1.051    10           64           8       
  {3,4,11,17,19}                 2   1.051    4480         6561         11      
  {3,4,11,17,20}                 1   1.048    22           81           9       
  {3,4,11,17,20}                 2   1.048    5345         14641        10      
  {3,4,11,18,19}                 1   1.048    17           64           9       
  {3,4,11,18,19}                 2   1.048    7063         14641        10      
  {3,4,11,18,20}                 1   1.045    26           81           9       
  {3,4,11,18,20}                 2   1.045    6786         14641        10      
  {3,4,11,19,20}                 1   1.042    21           64           9       
  {3,4,11,19,20}                 2   1.042    7156         14641        10      
  {3,4,12,13,14}                 1   1.084    11           64           7       
  {3,4,12,13,14}                 2   1.084    2970         16384        7       
  {3,4,12,13,15}                 1   1.079    14           64           7       
  {3,4,12,13,15}                 2   1.079    2659         16384        7       
  {3,4,12,13,16}                 1   1.074    82           169          9       
  {3,4,12,13,16}                 2   1.074    6303         20736        9       
  {3,4,12,13,17}                 1   1.07     18           64           7       
  {3,4,12,13,17}                 2   1.07     4397         20736        10      
  {3,4,12,13,18}                 1   1.066    14           64           7       
  {3,4,12,13,18}                 2   1.066    6303         20736        10      
  {3,4,12,13,19}                 1   1.063    18           64           7       
  {3,4,12,13,19}                 2   1.063    4477         16384        7       
  {3,4,12,13,20}                 1   1.06     18           64           8       
  {3,4,12,13,20}                 2   1.06     7803         20736        10      
  {3,4,12,14,15}                 1   1.073    11           64           7       
  {3,4,12,14,15}                 2   1.073    3010         16384        7       
  {3,4,12,14,16}                 1   1.068    22           81           8       
  {3,4,12,14,16}                 2   1.068    4098         20736        10      
  {3,4,12,14,17}                 1   1.064    22           81           8       
  {3,4,12,14,17}                 2   1.064    3074         16384        7       
  {3,4,12,14,18}                 1   1.06     11           64           8       
  {3,4,12,14,18}                 2   1.06     3082         5832         9       
  {3,4,12,14,19}                 1   1.057    11           64           8       
  {3,4,12,14,19}                 2   1.057    3071         6561         9       
  {3,4,12,14,20}                 1   1.054    22           81           9       
  {3,4,12,14,20}                 2   1.054    2926         6561         8       
  {3,4,12,15,16}                 1   1.062    69           225          8       
  {3,4,12,15,16}                 2   1.062    19067        177147       8       
  {3,4,12,15,17}                 1   1.058    14           64           8       
  {3,4,12,15,17}                 2   1.058    3723         16384        7       
  {3,4,12,15,18}                 1   1.054    78           225          8       
  {3,4,12,15,18}                 2   1.054    4551         16384        8       
  {3,4,12,15,19}                 1   1.051    72           225          9       
  {3,4,12,15,19}                 2   1.051    2931         6561         9       
  {3,4,12,15,20}                 1   1.048    53           225          9       
  {3,4,12,15,20}                 2   1.048    7530         50625        8       
  {3,4,12,16,17}                 1   1.053    86           729          8       
  {3,4,12,16,17}                 2   1.053    6843         59049        7       
  {3,4,12,16,18}                 1   1.05     26           81           9       
  {3,4,12,16,18}                 2   1.05     7898         59049        7       
  {3,4,12,16,19}                 1   1.046    33           81           9       
  {3,4,12,16,19}                 2   1.046    8086         59049        8       
  {3,4,12,16,20}                 1   1.044    69           243          8       
  {3,4,12,16,20}                 2   1.044    17762        160000       8       
  {3,4,12,17,18}                 1   1.046    14           64           9       
  {3,4,12,17,18}                 2   1.046    6215         59049        8       
  {3,4,12,17,19}                 1   1.042    18           64           9       
  {3,4,12,17,19}                 2   1.042    5215         16384        10      
  {3,4,12,17,20}                 1   1.039    86           400          11      
  {3,4,12,17,20}                 2   1.039    6151         16384        10      
  {3,4,12,18,19}                 1   1.039    17           64           9       
  {3,4,12,18,19}                 2   1.039    6810         16384        10      
  {3,4,12,18,20}                 1   1.036    26           81           10      
  {3,4,12,18,20}                 2   1.036    7642         16384        10      
  {3,4,12,19,20}                 1   1.032    18           64           9       
  {3,4,12,19,20}                 2   1.032    6849         16384        10      
  {3,4,13,14,15}                 1   1.065    11           64           7       
  {3,4,13,14,15}                 2   1.065    3385         16384        7       
  {3,4,13,14,16}                 1   1.06     51           729          8       
  {3,4,13,14,16}                 2   1.06     8255         28561        10      
  {3,4,13,14,17}                 1   1.056    15           64           8       
  {3,4,13,14,17}                 2   1.056    4803         28561        10      
  {3,4,13,14,18}                 1   1.052    24           169          7       
  {3,4,13,14,18}                 2   1.052    3325         5832         9       
  {3,4,13,14,19}                 1   1.049    24           169          7       
  {3,4,13,14,19}                 2   1.049    4159         16384        8       
  {3,4,13,14,20}                 1   1.046    35           169          7       
  {3,4,13,14,20}                 2   1.046    4770         16384        9       
  {3,4,13,15,16}                 1   1.055    21           169          7       
  {3,4,13,15,16}                 2   1.055    6537         28561        9       
  {3,4,13,15,17}                 1   1.051    14           64           8       
  {3,4,13,15,17}                 2   1.051    5312         28561        9       
  {3,4,13,15,18}                 1   1.047    14           64           8       
  {3,4,13,15,18}                 2   1.047    5375         16384        8       
  {3,4,13,15,19}                 1   1.044    21           169          7       
  {3,4,13,15,19}                 2   1.044    3412         6561         10      
  {3,4,13,15,20}                 1   1.041    21           64           9       
  {3,4,13,15,20}                 2   1.041    4487         16384        9       
  {3,4,13,16,17}                 1   1.046    18           64           9       
  {3,4,13,16,17}                 2   1.046    7493         59049        8       
  {3,4,13,16,18}                 1   1.042    24           169          7       
  {3,4,13,16,18}                 2   1.042    8546         59049        8       
  {3,4,13,16,19}                 1   1.039    70           729          10      
  {3,4,13,16,19}                 2   1.039    8059         59049        8       
  {3,4,13,16,20}                 1   1.036    21           64           9       
  {3,4,13,16,20}                 2   1.036    9615         59049        8       
  {3,4,13,17,18}                 1   1.038    15           64           9       
  {3,4,13,17,18}                 2   1.038    6087         16384        9       
  {3,4,13,17,19}                 1   1.035    54           729          10      
  {3,4,13,17,19}                 2   1.035    5682         16384        10      
  {3,4,13,17,20}                 1   1.032    180          400          11      
  {3,4,13,17,20}                 2   1.032    5048         6561         11      
  {3,4,13,18,19}                 1   1.031    24           169          9       
  {3,4,13,18,19}                 2   1.031    6531         16384        10      
  {3,4,13,18,20}                 1   1.028    15           64           9       
  {3,4,13,18,20}                 2   1.028    6303         16384        11      
  {3,4,13,19,20}                 1   1.025    21           64           9       
  {3,4,13,19,20}                 2   1.025    6511         16384        11      
  {3,4,14,15,16}                 1   1.048    11           64           8       
  {3,4,14,15,16}                 2   1.048    6528         38416        7       
  {3,4,14,15,17}                 1   1.044    11           64           9       
  {3,4,14,15,17}                 2   1.044    6093         38416        9       
  {3,4,14,15,18}                 1   1.041    11           64           9       
  {3,4,14,15,18}                 2   1.041    6294         38416        9       
  {3,4,14,15,19}                 1   1.037    11           64           9       
  {3,4,14,15,19}                 2   1.037    3550         6561         10      
  {3,4,14,15,20}                 1   1.034    11           64           9       
  {3,4,14,15,20}                 2   1.034    5829         16384        9       
  {3,4,14,16,17}                 1   1.039    22           196          7       
  {3,4,14,16,17}                 2   1.039    8059         38416        9       
  {3,4,14,16,18}                 1   1.036    24           196          7       
  {3,4,14,16,18}                 2   1.036    9147         38416        9       
  {3,4,14,16,19}                 1   1.032    24           196          7       
  {3,4,14,16,19}                 2   1.032    8875         38416        9       
  {3,4,14,16,20}                 1   1.03     22           64           9       
  {3,4,14,16,20}                 2   1.03     8311         38416        9       
  {3,4,14,17,18}                 1   1.032    15           64           9       
  {3,4,14,17,18}                 2   1.032    5475         5832         11      
  {3,4,14,17,19}                 1   1.028    15           64           9       
  {3,4,14,17,19}                 2   1.028    6411         16384        9       
  {3,4,14,17,20}                 1   1.025    22           64           9       
  {3,4,14,17,20}                 2   1.025    5475         16384        11      
  {3,4,14,18,19}                 1   1.025    24           196          8       
  {3,4,14,18,19}                 2   1.025    7015         16384        11      
  {3,4,14,18,20}                 1   1.022    15           64           10      
  {3,4,14,18,20}                 2   1.022    7070         16384        11      
  {3,4,14,19,20}                 1   1.018    15           64           11      
  {3,4,14,19,20}                 2   1.018    6827         16384        11      
  {3,4,15,16,17}                 1   1.034    14           729          10      
  {3,4,15,16,17}                 2   1.034    7764         177147       10      
  {3,4,15,16,18}                 1   1.03     251          729          10      
  {3,4,15,16,18}                 2   1.03     8329         104976       11      
  {3,4,15,16,19}                 1   1.027    233          729          10      
  {3,4,15,16,19}                 2   1.027    56539        130321       11      
  {3,4,15,16,20}                 1   1.024    218          400          11      
  {3,4,15,16,20}                 2   1.024    11131        160000       11      
  {3,4,15,17,18}                 1   1.026    14           225          7       
  {3,4,15,17,18}                 2   1.026    5402         16384        10      
  {3,4,15,17,19}                 1   1.023    14           225          7       
  {3,4,15,17,19}                 2   1.023    7099         16384        10      
  {3,4,15,17,20}                 1   1.02     14           225          7       
  {3,4,15,17,20}                 2   1.02     7764         16384        11      
  {3,4,15,18,19}                 1   1.019    242          324          12      
  {3,4,15,18,19}                 2   1.019    7086         16384        11      
  {3,4,15,18,20}                 1   1.016    251          324          12      
  {3,4,15,18,20}                 2   1.016    7125         16384        12      
  {3,4,15,19,20}                 1   1.013    21           361          12      
  {3,4,15,19,20}                 2   1.013    7486         16384        12      
  {3,4,16,17,18}                 1   1.021    258          729          10      
  {3,4,16,17,18}                 2   1.021    69861        177147       10      
  {3,4,16,17,19}                 1   1.018    261          729          10      
  {3,4,16,17,19}                 2   1.018    68981        177147       11      
  {3,4,16,17,20}                 1   1.015    261          400          12      
  {3,4,16,17,20}                 2   1.015    69644        177147       13      
  {3,4,16,18,19}                 1   1.014    267          729          13      
  {3,4,16,18,19}                 2   1.014    72705        177147       13      
  {3,4,16,18,20}                 1   1.011    257          729          13      
  {3,4,16,18,20}                 2   1.011    71179        177147       13      
  {3,4,16,19,20}                 1   1.008    264          729          13      
  {3,4,16,19,20}                 2   1.008    131250       177147       14      
  {3,4,17,18,19}                 1   1.01     257          324          14      
  {3,4,17,18,19}                 2   1.01     6176         83521        13      
  {3,4,17,18,20}                 1   1.007    258          324          15      
  {3,4,17,18,20}                 2   1.007    11255        83521        14      
  {3,4,17,19,20}                 1   1.004    261          361          17      
  {3,4,17,19,20}                 2   1.004    6876         83521        16      
  {3,4,18,19,20}                 1   1        253          729          23      
  {3,4,18,19,20}                 2   1        7486         104976       22      
  {3,5,6,7,8}                    1   1.26     4            25           5       
  {3,5,6,7,8}                    2   1.26     679          729          6       
  {3,5,6,7,9}                    1   1.242    4            25           6       
  {3,5,6,7,9}                    2   1.242    663          1296         7       
  {3,5,6,7,10}                   1   1.228    4            25           5       
  {3,5,6,7,10}                   2   1.228    934          1296         7       
  {3,5,6,7,11}                   1   1.217    4            25           5       
  {3,5,6,7,11}                   2   1.217    982          6561         6       
  {3,5,6,7,12}                   1   1.208    4            25           5       
  {3,5,6,7,12}                   2   1.208    1077         6561         6       
  {3,5,6,7,13}                   1   1.2      4            25           5       
  {3,5,6,7,13}                   2   1.2      2020         6561         6       
  {3,5,6,7,14}                   1   1.194    4            25           6       
  {3,5,6,7,14}                   2   1.194    900          2744         7       
  {3,5,6,7,15}                   1   1.188    4            25           6       
  {3,5,6,7,15}                   2   1.188    2145         3125         7       
  {3,5,6,7,16}                   1   1.183    4            25           6       
  {3,5,6,7,16}                   2   1.183    704          1296         7       
  {3,5,6,7,17}                   1   1.179    4            25           6       
  {3,5,6,7,17}                   2   1.179    891          3125         7       
  {3,5,6,7,18}                   1   1.175    4            25           6       
  {3,5,6,7,18}                   2   1.175    897          3125         7       
  {3,5,6,7,19}                   1   1.172    4            25           6       
  {3,5,6,7,19}                   2   1.172    2145         6561         6       
  {3,5,6,7,20}                   1   1.169    4            25           6       
  {3,5,6,7,20}                   2   1.169    2278         6561         6       
  {3,5,6,8,9}                    1   1.218    10           64           6       
  {3,5,6,8,9}                    2   1.218    1409         3125         6       
  {3,5,6,8,10}                   1   1.204    7            25           6       
  {3,5,6,8,10}                   2   1.204    2344         6561         6       
  {3,5,6,8,11}                   1   1.193    21           64           6       
  {3,5,6,8,11}                   2   1.193    1337         3125         7       
  {3,5,6,8,12}                   1   1.184    10           64           6       
  {3,5,6,8,12}                   2   1.184    1553         3125         7       
  {3,5,6,8,13}                   1   1.176    10           64           6       
  {3,5,6,8,13}                   2   1.176    1308         3125         7       
  {3,5,6,8,14}                   1   1.17     24           64           6       
  {3,5,6,8,14}                   2   1.17     1476         2744         7       
  {3,5,6,8,15}                   1   1.164    10           25           6       
  {3,5,6,8,15}                   2   1.164    4010         6561         8       
  {3,5,6,8,16}                   1   1.16     10           25           6       
  {3,5,6,8,16}                   2   1.16     1284         3125         7       
  {3,5,6,8,17}                   1   1.155    24           64           6       
  {3,5,6,8,17}                   2   1.155    2633         6561         7       
  {3,5,6,8,18}                   1   1.152    10           25           6       
  {3,5,6,8,18}                   2   1.152    2693         5832         7       
  {3,5,6,8,19}                   1   1.148    29           64           7       
  {3,5,6,8,19}                   2   1.148    2705         6561         7       
  {3,5,6,8,20}                   1   1.145    24           64           7       
  {3,5,6,8,20}                   2   1.145    2669         6561         7       
  {3,5,6,9,10}                   1   1.186    7            25           6       
  {3,5,6,9,10}                   2   1.186    1626         6561         6       
  {3,5,6,9,11}                   1   1.175    13           81           6       
  {3,5,6,9,11}                   2   1.175    2889         14641        7       
  {3,5,6,9,12}                   1   1.166    22           81           6       
  {3,5,6,9,12}                   2   1.166    9950         46656        6       
  {3,5,6,9,13}                   1   1.158    10           81           6       
  {3,5,6,9,13}                   2   1.158    2810         15625        7       
  {3,5,6,9,14}                   1   1.152    16           81           6       
  {3,5,6,9,14}                   2   1.152    2955         6561         6       
  {3,5,6,9,15}                   1   1.146    22           81           6       
  {3,5,6,9,15}                   2   1.146    4739         15625        7       
  {3,5,6,9,16}                   1   1.142    13           81           6       
  {3,5,6,9,16}                   2   1.142    3663         15625        7       
  {3,5,6,9,17}                   1   1.138    19           81           6       
  {3,5,6,9,17}                   2   1.138    4577         15625        7       
  {3,5,6,9,18}                   1   1.134    22           81           6       
  {3,5,6,9,18}                   2   1.134    9887         15625        7       
  {3,5,6,9,19}                   1   1.131    16           81           6       
  {3,5,6,9,19}                   2   1.131    6704         15625        7       
  {3,5,6,9,20}                   1   1.128    22           81           6       
  {3,5,6,9,20}                   2   1.128    7850         15625        8       
  {3,5,6,10,11}                  1   1.161    7            25           7       
  {3,5,6,10,11}                  2   1.161    1289         6561         6       
  {3,5,6,10,12}                  1   1.152    7            25           7       
  {3,5,6,10,12}                  2   1.152    1824         6561         6       
  {3,5,6,10,13}                  1   1.144    7            25           7       
  {3,5,6,10,13}                  2   1.144    2103         6561         6       
  {3,5,6,10,14}                  1   1.138    7            25           7       
  {3,5,6,10,14}                  2   1.138    2344         6561         6       
  {3,5,6,10,15}                  1   1.133    7            25           7       
  {3,5,6,10,15}                  2   1.133    3955         15625        7       
  {3,5,6,10,16}                  1   1.128    7            25           7       
  {3,5,6,10,16}                  2   1.128    1909         3125         7       
  {3,5,6,10,17}                  1   1.124    7            25           8       
  {3,5,6,10,17}                  2   1.124    1832         3125         7       
  {3,5,6,10,18}                  1   1.12     7            25           8       
  {3,5,6,10,18}                  2   1.12     6704         15625        8       
  {3,5,6,10,19}                  1   1.117    26           81           6       
  {3,5,6,10,19}                  2   1.117    6355         15625        8       
  {3,5,6,10,20}                  1   1.114    7            25           8       
  {3,5,6,10,20}                  2   1.114    6494         15625        8       
  {3,5,6,11,12}                  1   1.141    13           81           6       
  {3,5,6,11,12}                  2   1.141    1679         6561         6       
  {3,5,6,11,13}                  1   1.133    10           25           7       
  {3,5,6,11,13}                  2   1.133    2000         6561         6       
  {3,5,6,11,14}                  1   1.127    24           81           6       
  {3,5,6,11,14}                  2   1.127    1737         2744         7       
  {3,5,6,11,15}                  1   1.121    13           81           6       
  {3,5,6,11,15}                  2   1.121    2326         6561         8       
  {3,5,6,11,16}                  1   1.117    13           81           6       
  {3,5,6,11,16}                  2   1.117    1679         3125         7       
  {3,5,6,11,17}                  1   1.112    24           81           6       
  {3,5,6,11,17}                  2   1.112    2615         6561         8       
  {3,5,6,11,18}                  1   1.109    13           25           8       
  {3,5,6,11,18}                  2   1.109    2119         3125         7       
  {3,5,6,11,19}                  1   1.106    21           81           7       
  {3,5,6,11,19}                  2   1.106    1643         6561         6       
  {3,5,6,11,20}                  1   1.103    24           81           7       
  {3,5,6,11,20}                  2   1.103    2101         14641        9       
  {3,5,6,12,13}                  1   1.124    10           25           8       
  {3,5,6,12,13}                  2   1.124    2640         6561         7       
  {3,5,6,12,14}                  1   1.118    16           81           6       
  {3,5,6,12,14}                  2   1.118    2640         6561         8       
  {3,5,6,12,15}                  1   1.112    22           81           6       
  {3,5,6,12,15}                  2   1.112    4802         15625        7       
  {3,5,6,12,16}                  1   1.108    13           81           6       
  {3,5,6,12,16}                  2   1.108    3078         6561         9       
  {3,5,6,12,17}                  1   1.103    19           81           7       
  {3,5,6,12,17}                  2   1.103    3929         6561         9       
  {3,5,6,12,18}                  1   1.1      22           81           7       
  {3,5,6,12,18}                  2   1.1      11138        46656        8       
  {3,5,6,12,19}                  1   1.096    16           81           7       
  {3,5,6,12,19}                  2   1.096    3768         15625        7       
  {3,5,6,12,20}                  1   1.094    22           81           7       
  {3,5,6,12,20}                  2   1.094    3078         15625        8       
  {3,5,6,13,14}                  1   1.11     10           25           9       
  {3,5,6,13,14}                  2   1.11     2899         6561         8       
  {3,5,6,13,15}                  1   1.105    10           25           9       
  {3,5,6,13,15}                  2   1.105    2854         6561         8       
  {3,5,6,13,16}                  1   1.1      26           81           7       
  {3,5,6,13,16}                  2   1.1      2318         3125         8       
  {3,5,6,13,17}                  1   1.096    10           25           9       
  {3,5,6,13,17}                  2   1.096    2829         6561         9       
  {3,5,6,13,18}                  1   1.092    10           25           9       
  {3,5,6,13,18}                  2   1.092    2793         15625        7       
  {3,5,6,13,19}                  1   1.089    29           81           8       
  {3,5,6,13,19}                  2   1.089    2685         15625        8       
  {3,5,6,13,20}                  1   1.086    10           25           9       
  {3,5,6,13,20}                  2   1.086    3299         15625        8       
  {3,5,6,14,15}                  1   1.098    16           81           7       
  {3,5,6,14,15}                  2   1.098    3176         6561         9       
  {3,5,6,14,16}                  1   1.094    13           25           9       
  {3,5,6,14,16}                  2   1.094    2860         6561         9       
  {3,5,6,14,17}                  1   1.089    24           81           8       
  {3,5,6,14,17}                  2   1.089    2840         6561         9       
  {3,5,6,14,18}                  1   1.086    16           81           8       
  {3,5,6,14,18}                  2   1.086    2793         5832         8       
  {3,5,6,14,19}                  1   1.082    21           81           8       
  {3,5,6,14,19}                  2   1.082    2955         15625        8       
  {3,5,6,14,20}                  1   1.08     24           81           8       
  {3,5,6,14,20}                  2   1.08     3299         15625        8       
  {3,5,6,15,16}                  1   1.088    13           25           9       
  {3,5,6,15,16}                  2   1.088    3720         6561         9       
  {3,5,6,15,17}                  1   1.084    19           81           8       
  {3,5,6,15,17}                  2   1.084    4037         6561         9       
  {3,5,6,15,18}                  1   1.08     22           81           8       
  {3,5,6,15,18}                  2   1.08     5594         15625        8       
  {3,5,6,15,19}                  1   1.077    16           81           8       
  {3,5,6,15,19}                  2   1.077    7457         15625        8       
  {3,5,6,15,20}                  1   1.074    22           81           8       
  {3,5,6,15,20}                  2   1.074    7014         15625        8       
  {3,5,6,16,17}                  1   1.079    13           25           9       
  {3,5,6,16,17}                  2   1.079    4077         6561         9       
  {3,5,6,16,18}                  1   1.075    13           25           9       
  {3,5,6,16,18}                  2   1.075    3663         15625        8       
  {3,5,6,16,19}                  1   1.072    29           81           8       
  {3,5,6,16,19}                  2   1.072    3321         6561         9       
  {3,5,6,16,20}                  1   1.069    13           25           9       
  {3,5,6,16,20}                  2   1.069    3370         6561         9       
  {3,5,6,17,18}                  1   1.071    19           81           8       
  {3,5,6,17,18}                  2   1.071    5084         15625        8       
  {3,5,6,17,19}                  1   1.068    21           81           8       
  {3,5,6,17,19}                  2   1.068    3707         6561         9       
  {3,5,6,17,20}                  1   1.065    24           81           8       
  {3,5,6,17,20}                  2   1.065    5810         15625        9       
  {3,5,6,18,19}                  1   1.064    16           25           10      
  {3,5,6,18,19}                  2   1.064    6380         15625        9       
  {3,5,6,18,20}                  1   1.061    22           81           8       
  {3,5,6,18,20}                  2   1.061    6464         15625        9       
  {3,5,6,19,20}                  1   1.058    21           81           8       
  {3,5,6,19,20}                  2   1.058    7232         15625        10      
  {3,5,7,8,9}                    1   1.185    6            25           6       
  {3,5,7,8,9}                    2   1.185    1160         3125         7       
  {3,5,7,8,10}                   1   1.171    6            25           7       
  {3,5,7,8,10}                   2   1.171    1192         3125         7       
  {3,5,7,8,11}                   1   1.16     6            25           7       
  {3,5,7,8,11}                   2   1.16     1355         3125         8       
  {3,5,7,8,12}                   1   1.15     6            25           7       
  {3,5,7,8,12}                   2   1.15     2371         3125         8       
  {3,5,7,8,13}                   1   1.143    6            25           7       
  {3,5,7,8,13}                   2   1.143    2485         3125         8       
  {3,5,7,8,14}                   1   1.136    6            25           7       
  {3,5,7,8,14}                   2   1.136    2806         15625        6       
  {3,5,7,8,15}                   1   1.131    6            25           6       
  {3,5,7,8,15}                   2   1.131    2931         15625        6       
  {3,5,7,8,16}                   1   1.126    6            25           6       
  {3,5,7,8,16}                   2   1.126    2714         15625        7       
  {3,5,7,8,17}                   1   1.122    6            25           7       
  {3,5,7,8,17}                   2   1.122    2813         15625        7       
  {3,5,7,8,18}                   1   1.118    6            25           7       
  {3,5,7,8,18}                   2   1.118    2917         5832         7       
  {3,5,7,8,19}                   1   1.115    6            25           7       
  {3,5,7,8,19}                   2   1.115    2706         6561         7       
  {3,5,7,8,20}                   1   1.112    26           49           8       
  {3,5,7,8,20}                   2   1.112    2944         6561         7       
  {3,5,7,9,10}                   1   1.153    11           49           6       
  {3,5,7,9,10}                   2   1.153    3019         15625        8       
  {3,5,7,9,11}                   1   1.142    31           81           6       
  {3,5,7,9,11}                   2   1.142    1665         6561         6       
  {3,5,7,9,12}                   1   1.133    13           49           7       
  {3,5,7,9,12}                   2   1.133    2521         6561         6       
  {3,5,7,9,13}                   1   1.125    11           49           7       
  {3,5,7,9,13}                   2   1.125    2357         6561         6       
  {3,5,7,9,14}                   1   1.119    20           49           7       
  {3,5,7,9,14}                   2   1.119    3162         6561         8       
  {3,5,7,9,15}                   1   1.113    13           49           7       
  {3,5,7,9,15}                   2   1.113    3110         6561         8       
  {3,5,7,9,16}                   1   1.108    103          343          8       
  {3,5,7,9,16}                   2   1.108    2610         6561         9       
  {3,5,7,9,17}                   1   1.104    13           49           7       
  {3,5,7,9,17}                   2   1.104    3081         6561         9       
  {3,5,7,9,18}                   1   1.1      47           243          6       
  {3,5,7,9,18}                   2   1.1      15636        104976       8       
  {3,5,7,9,19}                   1   1.097    20           49           8       
  {3,5,7,9,19}                   2   1.097    6373         15625        8       
  {3,5,7,9,20}                   1   1.094    31           81           9       
  {3,5,7,9,20}                   2   1.094    7283         15625        9       
  {3,5,7,10,11}                  1   1.128    6            25           7       
  {3,5,7,10,11}                  2   1.128    2568         6561         6       
  {3,5,7,10,12}                  1   1.119    23           49           7       
  {3,5,7,10,12}                  2   1.119    2409         6561         6       
  {3,5,7,10,13}                  1   1.111    11           49           7       
  {3,5,7,10,13}                  2   1.111    2811         6561         7       
  {3,5,7,10,14}                  1   1.105    11           25           8       
  {3,5,7,10,14}                  2   1.105    3085         6561         7       
  {3,5,7,10,15}                  1   1.099    11           25           8       
  {3,5,7,10,15}                  2   1.099    3487         6561         8       
  {3,5,7,10,16}                  1   1.094    11           25           8       
  {3,5,7,10,16}                  2   1.094    2991         6561         8       
  {3,5,7,10,17}                  1   1.09     23           49           8       
  {3,5,7,10,17}                  2   1.09     2966         6561         9       
  {3,5,7,10,18}                  1   1.087    11           25           9       
  {3,5,7,10,18}                  2   1.087    5735         15625        9       
  {3,5,7,10,19}                  1   1.083    23           49           9       
  {3,5,7,10,19}                  2   1.083    2966         15625        9       
  {3,5,7,10,20}                  1   1.08     11           25           9       
  {3,5,7,10,20}                  2   1.08     6144         15625        9       
  {3,5,7,11,12}                  1   1.108    13           49           7       
  {3,5,7,11,12}                  2   1.108    1846         14641        5       
  {3,5,7,11,13}                  1   1.1      6            25           8       
  {3,5,7,11,13}                  2   1.1      2334         14641        5       
  {3,5,7,11,14}                  1   1.094    13           49           7       
  {3,5,7,11,14}                  2   1.094    2642         2744         9       
  {3,5,7,11,15}                  1   1.088    13           49           8       
  {3,5,7,11,15}                  2   1.088    2642         3125         9       
  {3,5,7,11,16}                  1   1.083    29           81           8       
  {3,5,7,11,16}                  2   1.083    2751         14641        7       
  {3,5,7,11,17}                  1   1.079    13           25           9       
  {3,5,7,11,17}                  2   1.079    2760         14641        7       
  {3,5,7,11,18}                  1   1.075    31           81           8       
  {3,5,7,11,18}                  2   1.075    3059         14641        8       
  {3,5,7,11,19}                  1   1.072    13           25           9       
  {3,5,7,11,19}                  2   1.072    2853         14641        8       
  {3,5,7,11,20}                  1   1.069    22           49           9       
  {3,5,7,11,20}                  2   1.069    2468         6561         7       
  {3,5,7,12,13}                  1   1.091    11           25           8       
  {3,5,7,12,13}                  2   1.091    2577         20736        10      
  {3,5,7,12,14}                  1   1.084    18           49           8       
  {3,5,7,12,14}                  2   1.084    2872         20736        10      
  {3,5,7,12,15}                  1   1.079    38           225          10      
  {3,5,7,12,15}                  2   1.079    2714         15625        7       
  {3,5,7,12,16}                  1   1.074    18           49           9       
  {3,5,7,12,16}                  2   1.074    2525         3125         10      
  {3,5,7,12,17}                  1   1.07     23           49           9       
  {3,5,7,12,17}                  2   1.07     2741         3125         10      
  {3,5,7,12,18}                  1   1.066    13           25           9       
  {3,5,7,12,18}                  2   1.066    4545         59049        8       
  {3,5,7,12,19}                  1   1.063    23           49           9       
  {3,5,7,12,19}                  2   1.063    2499         6561         8       
  {3,5,7,12,20}                  1   1.06     119          243          9       
  {3,5,7,12,20}                  2   1.06     2872         15625        9       
  {3,5,7,13,14}                  1   1.077    11           25           9       
  {3,5,7,13,14}                  2   1.077    3154         28561        10      
  {3,5,7,13,15}                  1   1.071    26           49           9       
  {3,5,7,13,15}                  2   1.071    2936         15625        7       
  {3,5,7,13,16}                  1   1.067    11           25           9       
  {3,5,7,13,16}                  2   1.067    2677         15625        7       
  {3,5,7,13,17}                  1   1.062    11           25           9       
  {3,5,7,13,17}                  2   1.062    2931         15625        8       
  {3,5,7,13,18}                  1   1.059    11           25           9       
