# unified_batch: max_base=20, sizes [3, 6], k in [1, 2]
# 30542 coprime BaseSets enumerated
# A                              k   R        route   c*           T*           extra       
  {3,5,8,9,14}                   1   1.095    CFH     24           125          step=7 
  {3,5,8,9,14}                   2   1.095    CFH     5442         15625        step=7 
  {3,5,8,9,15}                   1   1.089    CFH     19           125          step=8 
  {3,5,8,9,15}                   2   1.089    CFH     13371        32768        step=7 
  {3,5,8,9,16}                   1   1.085    CFH     15           64           step=7 
  {3,5,8,9,16}                   2   1.085    CFH     9496         32768        step=7 
  {3,5,8,9,17}                   1   1.08     CFH     88           289          step=9 
  {3,5,8,9,17}                   2   1.08     CFH     5279         15625        step=8 
  {3,5,8,9,18}                   1   1.077    CFH     24           125          step=8 
  {3,5,8,9,18}                   2   1.077    CFH     4713         15625        step=8 
  {3,5,8,9,19}                   1   1.073    CFH     15           64           step=8 
  {3,5,8,9,19}                   2   1.073    CFH     4333         15625        step=8 
  {3,5,8,9,20}                   1   1.07     CFH     24           125          step=8 
  {3,5,8,9,20}                   2   1.07     CFH     6529         32768        step=8 
  {3,5,8,10,11}                  1   1.104    CFH     7            64           step=6 
  {3,5,8,10,11}                  2   1.104    CFH     2119         10000        step=8 
  {3,5,8,10,12}                  1   1.095    CFH     7            64           step=6 
  {3,5,8,10,12}                  2   1.095    CFH     2884         10000        step=8 
  {3,5,8,10,13}                  1   1.087    CFH     7            64           step=6 
  {3,5,8,10,13}                  2   1.087    CFH     2965         10000        step=8 
  {3,5,8,10,14}                  1   1.081    CFH     7            64           step=7 
  {3,5,8,10,14}                  2   1.081    CFH     2936         10000        step=8 
  {3,5,8,10,15}                  1   1.075    CFH     7            64           step=7 
  {3,5,8,10,15}                  2   1.075    CFH     5542         10000        step=8 
  {3,5,8,10,16}                  1   1.071    CFH     7            64           step=8 
  {3,5,8,10,16}                  2   1.071    CFH     3842         10000        step=9 
  {3,5,8,10,17}                  1   1.066    CFH     7            64           step=8 
  {3,5,8,10,17}                  2   1.066    CFH     3776         10000        step=9 
  {3,5,8,10,18}                  1   1.063    CFH     7            64           step=9 
  {3,5,8,10,18}                  2   1.063    CFH     5561         10000        step=9 
  {3,5,8,10,19}                  1   1.06     CFH     7            64           step=9 
  {3,5,8,10,19}                  2   1.06     CFH     5561         10000        step=10 
  {3,5,8,10,20}                  1   1.057    CFH     7            64           step=9 
  {3,5,8,10,20}                  2   1.057    CFH     5917         8000         step=10 
  {3,5,8,11,12}                  1   1.084    CFH     82           512          step=8 
  {3,5,8,11,12}                  2   1.084    CFH     2075         3125         step=8 
  {3,5,8,11,13}                  1   1.076    CFH     15           64           step=7 
  {3,5,8,11,13}                  2   1.076    CFH     2269         3125         step=9 
  {3,5,8,11,14}                  1   1.07     CFH     29           121          step=8 
  {3,5,8,11,14}                  2   1.07     CFH     2773         14641        step=7 
  {3,5,8,11,15}                  1   1.064    CFH     21           121          step=8 
  {3,5,8,11,15}                  2   1.064    CFH     3542         14641        step=7 
  {3,5,8,11,16}                  1   1.06     CFH     26           121          step=9 
  {3,5,8,11,16}                  2   1.06     CFH     3827         14641        step=8 
  {3,5,8,11,17}                  1   1.055    CFH     21           121          step=9 
  {3,5,8,11,17}                  2   1.055    CFH     3572         14641        step=9 
  {3,5,8,11,18}                  1   1.052    CFH     15           64           step=9 
  {3,5,8,11,18}                  2   1.052    CFH     3569         14641        step=9 
  {3,5,8,11,19}                  1   1.048    CFH     29           121          step=9 
  {3,5,8,11,19}                  2   1.048    CFH     4167         14641        step=9 
  {3,5,8,11,20}                  1   1.045    CFH     82           400          step=9 
  {3,5,8,11,20}                  2   1.045    CFH     3806         8000         step=11 
  {3,5,8,12,13}                  1   1.067    CFH     83           512          step=8 
  {3,5,8,12,13}                  2   1.067    CFH     2835         15625        step=7 
  {3,5,8,12,14}                  1   1.061    CFH     18           64           step=9 
  {3,5,8,12,14}                  2   1.061    CFH     2862         15625        step=7 
  {3,5,8,12,15}                  1   1.055    CFH     19           64           step=9 
  {3,5,8,12,15}                  2   1.055    CFH     3178         15625        step=7 
  {3,5,8,12,16}                  1   1.05     CFH     18           64           step=9 
  {3,5,8,12,16}                  2   1.05     CFH     6841         32768        step=9 
  {3,5,8,12,17}                  1   1.046    CFH     19           64           step=9 
  {3,5,8,12,17}                  2   1.046    CFH     4614         15625        step=8 
  {3,5,8,12,18}                  1   1.043    CFH     19           64           step=9 
  {3,5,8,12,18}                  2   1.043    CFH     4361         15625        step=9 
  {3,5,8,12,19}                  1   1.039    CFH     18           64           step=9 
  {3,5,8,12,19}                  2   1.039    CFH     4333         15625        step=10 
  {3,5,8,12,20}                  1   1.036    CFH     19           64           step=9 
  {3,5,8,12,20}                  2   1.036    CFH     6806         32768        step=9 
  {3,5,8,13,14}                  1   1.053    CFH     15           64           step=9 
  {3,5,8,13,14}                  2   1.053    CFH     4909         28561        step=11 
  {3,5,8,13,15}                  1   1.048    CFH     19           64           step=9 
  {3,5,8,13,15}                  2   1.048    CFH     4792         28561        step=10 
  {3,5,8,13,16}                  1   1.043    CFH     31           125          step=9 
  {3,5,8,13,16}                  2   1.043    CFH     3164         15625        step=8 
  {3,5,8,13,17}                  1   1.039    CFH     23           125          step=10 
  {3,5,8,13,17}                  2   1.039    CFH     3208         15625        step=9 
  {3,5,8,13,18}                  1   1.035    CFH     19           64           step=9 
  {3,5,8,13,18}                  2   1.035    CFH     4713         15625        step=9 
  {3,5,8,13,19}                  1   1.032    CFH     23           125          step=11 
  {3,5,8,13,19}                  2   1.032    CFH     4567         15625        step=11 
  {3,5,8,13,20}                  1   1.029    CFH     19           64           step=9 
  {3,5,8,13,20}                  2   1.029    CFH     4870         8000         step=12 
  {3,5,8,14,15}                  1   1.041    CFH     85           512          step=9 
  {3,5,8,14,15}                  2   1.041    CFH     3204         15625        step=8 
  {3,5,8,14,16}                  1   1.036    CFH     18           64           step=9 
  {3,5,8,14,16}                  2   1.036    CFH     5829         32768        step=10 
  {3,5,8,14,17}                  1   1.032    CFH     24           125          step=11 
  {3,5,8,14,17}                  2   1.032    CFH     3268         15625        step=9 
  {3,5,8,14,18}                  1   1.029    CFH     24           125          step=11 
  {3,5,8,14,18}                  2   1.029    CFH     3515         15625        step=10 
  {3,5,8,14,19}                  1   1.025    CFH     29           125          step=11 
  {3,5,8,14,19}                  2   1.025    CFH     6012         15625        step=10 
  {3,5,8,14,20}                  1   1.022    CFH     24           125          step=11 
  {3,5,8,14,20}                  2   1.022    CFH     3515         8000         step=13 
  {3,5,8,15,16}                  1   1.031    CFH     10           64           step=9 
  {3,5,8,15,16}                  2   1.031    CFH     3677         15625        step=9 
  {3,5,8,15,17}                  1   1.027    CFH     21           64           step=9 
  {3,5,8,15,17}                  2   1.027    CFH     5649         15625        step=10 
  {3,5,8,15,18}                  1   1.023    CFH     19           64           step=10 
  {3,5,8,15,18}                  2   1.023    CFH     6349         32768        step=10 
  {3,5,8,15,19}                  1   1.02     CFH     21           64           step=10 
  {3,5,8,15,19}                  2   1.02     CFH     6592         15625        step=11 
  {3,5,8,15,20}                  1   1.017    CFH     21           64           step=11 
  {3,5,8,15,20}                  2   1.017    CFH     6754         32768        step=11 
  {3,5,8,16,17}                  1   1.022    CFH     87           289          step=12 
  {3,5,8,16,17}                  2   1.022    CFH     6785         32768        step=10 
  {3,5,8,16,18}                  1   1.018    CFH     15           64           step=10 
  {3,5,8,16,18}                  2   1.018    CFH     5910         15625        step=11 
  {3,5,8,16,19}                  1   1.015    CFH     26           125          step=13 
  {3,5,8,16,19}                  2   1.015    CFH     6879         15625        step=11 
  {3,5,8,16,20}                  1   1.012    CFH     26           125          step=13 
  {3,5,8,16,20}                  2   1.012    CFH     7161         32768        step=13 
  {3,5,8,17,18}                  1   1.014    CFH     88           289          step=13 
  {3,5,8,17,18}                  2   1.014    CFH     5186         15625        step=11 
  {3,5,8,17,19}                  1   1.011    CFH     23           64           step=13 
  {3,5,8,17,19}                  2   1.011    CFH     5304         15625        step=11 
  {3,5,8,17,20}                  1   1.008    CFH     24           64           step=14 
  {3,5,8,17,20}                  2   1.008    CFH     5488         8000         step=15 
  {3,5,8,18,19}                  1   1.007    CFH     15           64           step=15 
  {3,5,8,18,19}                  2   1.007    CFH     5920         15625        step=15 
  {3,5,8,18,20}                  1   1.004    CFH     24           64           step=15 
  {3,5,8,18,20}                  2   1.004    CFH     6124         8000         step=17 
  {3,5,8,19,20}                  1   1.001    CFH     26           125          step=19 
  {3,5,8,19,20}                  2   1.001    CFH     9005         8000         step=21 
  {3,5,9,10,11}                  1   1.086    CFH     7            81           step=6 
  {3,5,9,10,11}                  2   1.086    CFH     10353        59049        step=6 
  {3,5,9,10,12}                  1   1.077    CFH     16           100          step=9 
  {3,5,9,10,12}                  2   1.077    CFH     11337        59049        step=7 
  {3,5,9,10,13}                  1   1.069    CFH     72           625          step=7 
  {3,5,9,10,13}                  2   1.069    CFH     6107         78125        step=10 
  {3,5,9,10,14}                  1   1.063    CFH     101          625          step=7 
  {3,5,9,10,14}                  2   1.063    CFH     12867        38416        step=7 
  {3,5,9,10,15}                  1   1.058    CFH     97           625          step=7 
  {3,5,9,10,15}                  2   1.058    CFH     13057        78125        step=10 
  {3,5,9,10,16}                  1   1.053    CFH     20           100          step=10 
  {3,5,9,10,16}                  2   1.053    CFH     10459        78125        step=10 
  {3,5,9,10,17}                  1   1.049    CFH     16           100          step=10 
  {3,5,9,10,17}                  2   1.049    CFH     70172        390625       step=9 
  {3,5,9,10,18}                  1   1.045    CFH     77           324          step=10 
  {3,5,9,10,18}                  2   1.045    CFH     75336        390625       step=9 
  {3,5,9,10,19}                  1   1.042    CFH     101          361          step=10 
  {3,5,9,10,19}                  2   1.042    CFH     9871         78125        step=11 
  {3,5,9,10,20}                  1   1.039    CFH     97           400          step=10 
  {3,5,9,10,20}                  2   1.039    CFH     68377        390625       step=9 
  {3,5,9,11,12}                  1   1.066    CFH     103          625          step=7 
  {3,5,9,11,12}                  2   1.066    CFH     14019        59049        step=9 
  {3,5,9,11,13}                  1   1.058    CFH     96           625          step=7 
  {3,5,9,11,13}                  2   1.058    CFH     13267        371293       step=7 
  {3,5,9,11,14}                  1   1.052    CFH     105          625          step=7 
  {3,5,9,11,14}                  2   1.052    CFH     9524         38416        step=10 
  {3,5,9,11,15}                  1   1.046    CFH     103          625          step=9 
  {3,5,9,11,15}                  2   1.046    CFH     4369         14641        step=9 
  {3,5,9,11,16}                  1   1.042    CFH     112          625          step=9 
  {3,5,9,11,16}                  2   1.042    CFH     5046         14641        step=9 
  {3,5,9,11,17}                  1   1.038    CFH     105          1331         step=9 
  {3,5,9,11,17}                  2   1.038    CFH     6867         59049        step=7 
  {3,5,9,11,18}                  1   1.034    CFH     112          324          step=10 
  {3,5,9,11,18}                  2   1.034    CFH     13235        78125        step=11 
  {3,5,9,11,19}                  1   1.031    CFH     15           121          step=10 
  {3,5,9,11,19}                  2   1.031    CFH     12797        78125        step=11 
  {3,5,9,11,20}                  1   1.028    CFH     105          400          step=10 
  {3,5,9,11,20}                  2   1.028    CFH     14419        390625       step=10 
  {3,5,9,12,13}                  1   1.049    CFH     92           625          step=9 
  {3,5,9,12,13}                  2   1.049    CFH     14044        248832       step=8 
  {3,5,9,12,14}                  1   1.043    CFH     97           625          step=9 
  {3,5,9,12,14}                  2   1.043    CFH     17761        38416        step=10 
  {3,5,9,12,15}                  1   1.037    CFH     112          625          step=9 
  {3,5,9,12,15}                  2   1.037    CFH     18204        248832       step=10 
  {3,5,9,12,16}                  1   1.033    CFH     22           125          step=11 
  {3,5,9,12,16}                  2   1.033    CFH     13794        248832       step=10 
  {3,5,9,12,17}                  1   1.028    CFH     100          1728         step=9 
  {3,5,9,12,17}                  2   1.028    CFH     7256         59049        step=9 
  {3,5,9,12,18}                  1   1.025    CFH     112          324          step=11 
  {3,5,9,12,18}                  2   1.025    CFH     17970        78125        step=13 
  {3,5,9,12,19}                  1   1.021    CFH     16           125          step=13 
  {3,5,9,12,19}                  2   1.021    CFH     7185         15625        step=12 
  {3,5,9,12,20}                  1   1.019    CFH     112          400          step=13 
  {3,5,9,12,20}                  2   1.019    CFH     10065        59049        step=9 
  {3,5,9,13,14}                  1   1.035    CFH     110          625          step=9 
  {3,5,9,13,14}                  2   1.035    CFH     14863        28561        step=11 
  {3,5,9,13,15}                  1   1.03     CFH     100          625          step=9 
  {3,5,9,13,15}                  2   1.03     CFH     15314        28561        step=11 
  {3,5,9,13,16}                  1   1.025    CFH     101          625          step=10 
  {3,5,9,13,16}                  2   1.025    CFH     15546        371293       step=10 
  {3,5,9,13,17}                  1   1.021    CFH     24           125          step=13 
  {3,5,9,13,17}                  2   1.021    CFH     11806        78125        step=13 
  {3,5,9,13,18}                  1   1.017    CFH     110          324          step=13 
  {3,5,9,13,18}                  2   1.017    CFH     21264        78125        step=13 
  {3,5,9,13,19}                  1   1.014    CFH     29           125          step=13 
  {3,5,9,13,19}                  2   1.014    CFH     12246        78125        step=13 
  {3,5,9,13,20}                  1   1.011    CFH     105          400          step=13 
  {3,5,9,13,20}                  2   1.011    CFH     16056        371293       step=12 
  {3,5,9,14,15}                  1   1.023    CFH     97           625          step=10 
  {3,5,9,14,15}                  2   1.023    CFH     15513        390625       step=9 
  {3,5,9,14,16}                  1   1.019    CFH     135          625          step=11 
  {3,5,9,14,16}                  2   1.019    CFH     16011        390625       step=10 
  {3,5,9,14,17}                  1   1.014    CFH     105          2187         step=11 
  {3,5,9,14,17}                  2   1.014    CFH     11551        38416        step=12 
  {3,5,9,14,18}                  1   1.011    CFH     119          324          step=13 
  {3,5,9,14,18}                  2   1.011    CFH     75060        390625       step=12 
  {3,5,9,14,19}                  1   1.007    CFH     110          361          step=15 
  {3,5,9,14,19}                  2   1.007    CFH     15987        78125        step=15 
  {3,5,9,14,20}                  1   1.005    CFH     105          400          step=16 
  {3,5,9,14,20}                  2   1.005    CFH     16232        390625       step=15 
  {3,5,9,15,16}                  1   1.013    CFH     103          625          step=11 
  {3,5,9,15,16}                  2   1.013    CFH     6423         15625        step=12 
  {3,5,9,15,17}                  1   1.009    CFH     100          2187         step=13 
  {3,5,9,15,17}                  2   1.009    CFH     13765        78125        step=15 
  {3,5,9,15,18}                  1   1.005    CFH     112          324          step=16 
  {3,5,9,15,18}                  2   1.005    CFH     54303        78125        step=15 
  {3,5,9,15,19}                  1   1.002    CFH     16           125          step=18 
  {3,5,9,15,19}                  2   1.002    CFH     10005        78125        step=19 
  {3,5,9,16,17}                  1   1.004    CFH     96           2187         step=14 
  {3,5,9,16,17}                  2   1.004    CFH     64805        78125        step=16 
  {3,5,9,16,18}                  1   1        CFH     121          324          step=22 
  {3,5,9,16,18}                  2   1        CFH     66823        78125        step=22 
  {3,5,10,11,12}                 1   1.052    CFH     7            81           step=6 
  {3,5,10,11,12}                 2   1.052    CFH     2284         10000        step=8 
  {3,5,10,11,13}                 1   1.044    CFH     7            81           step=7 
  {3,5,10,11,13}                 2   1.044    CFH     4010         10000        step=10 
  {3,5,10,11,14}                 1   1.038    CFH     7            81           step=8 
  {3,5,10,11,14}                 2   1.038    CFH     6334         38416        step=10 
  {3,5,10,11,15}                 1   1.033    CFH     7            81           step=8 
  {3,5,10,11,15}                 2   1.033    CFH     7100         50625        step=9 
  {3,5,10,11,16}                 1   1.028    CFH     7            81           step=9 
  {3,5,10,11,16}                 2   1.028    CFH     3734         10000        step=10 
  {3,5,10,11,17}                 1   1.024    CFH     7            81           step=10 
  {3,5,10,11,17}                 2   1.024    CFH     6250         59049        step=8 
  {3,5,10,11,18}                 1   1.02     CFH     7            81           step=10 
  {3,5,10,11,18}                 2   1.02     CFH     7229         59049        step=9 
  {3,5,10,11,19}                 1   1.017    CFH     7            81           step=10 
  {3,5,10,11,19}                 2   1.017    CFH     6957         59049        step=9 
  {3,5,10,11,20}                 1   1.014    CFH     7            81           step=11 
  {3,5,10,11,20}                 2   1.014    CFH     9064         59049        step=11 
  {3,5,10,12,13}                 1   1.035    CFH     11           81           step=8 
  {3,5,10,12,13}                 2   1.035    CFH     5476         78125        step=10 
  {3,5,10,12,14}                 1   1.029    CFH     16           100          step=12 
  {3,5,10,12,14}                 2   1.029    CFH     3200         10000        step=10 
  {3,5,10,12,15}                 1   1.023    CFH     16           100          step=12 
  {3,5,10,12,15}                 2   1.023    CFH     5791         50625        step=10 
  {3,5,10,12,16}                 1   1.019    CFH     23           100          step=12 
  {3,5,10,12,16}                 2   1.019    CFH     4851         10000        step=12 
  {3,5,10,12,17}                 1   1.015    CFH     104          1000         step=13 
  {3,5,10,12,17}                 2   1.015    CFH     4941         10000        step=12 
  {3,5,10,12,18}                 1   1.011    CFH     16           100          step=13 
  {3,5,10,12,18}                 2   1.011    CFH     6650         59049        step=12 
  {3,5,10,12,19}                 1   1.008    CFH     104          361          step=14 
  {3,5,10,12,19}                 2   1.008    CFH     6740         59049        step=13 
  {3,5,10,12,20}                 1   1.005    CFH     16           100          step=17 
  {3,5,10,12,20}                 2   1.005    CFH     9357         59049        step=14 
  {3,5,10,13,14}                 1   1.021    CFH     20           100          step=12 
  {3,5,10,13,14}                 2   1.021    CFH     5155         28561        step=12 
  {3,5,10,13,15}                 1   1.016    CFH     11           81           step=9 
  {3,5,10,13,15}                 2   1.016    CFH     12191        28561        step=13 
  {3,5,10,13,16}                 1   1.011    CFH     101          625          step=12 
  {3,5,10,13,16}                 2   1.011    CFH     4021         10000        step=13 
  {3,5,10,13,17}                 1   1.007    CFH     11           81           step=12 
  {3,5,10,13,17}                 2   1.007    CFH     5426         10000        step=15 
  {3,5,10,13,18}                 1   1.003    CFH     29           100          step=17 
  {3,5,10,13,18}                 2   1.003    CFH     8001         78125        step=16 
  {3,5,10,13,19}                 1   1        S-unit  7            10           (3,5) 
  {3,5,10,13,19}                 2   1        S-unit  1246         1000         (3,5) 
  {3,5,10,14,15}                 1   1.009    CFH     102          625          step=12 
  {3,5,10,14,15}                 2   1.009    CFH     6463         38416        step=13 
  {3,5,10,14,16}                 1   1.005    CFH     20           100          step=16 
  {3,5,10,14,16}                 2   1.005    CFH     7334         38416        step=14 
  {3,5,10,14,17}                 1   1.001    CFH     21           100          step=22 
  {3,5,10,14,17}                 2   1.001    CFH     6107         10000        step=22 
  {3,5,11,12,13}                 1   1.024    CFH     10           81           step=8 
  {3,5,11,12,13}                 2   1.024    CFH     15542        248832       step=11 
  {3,5,11,12,14}                 1   1.018    CFH     99           625          step=12 
  {3,5,11,12,14}                 2   1.018    CFH     3400         38416        step=12 
  {3,5,11,12,15}                 1   1.012    CFH     103          625          step=12 
  {3,5,11,12,15}                 2   1.012    CFH     3716         50625        step=13 
  {3,5,11,12,16}                 1   1.008    CFH     22           121          step=13 
  {3,5,11,12,16}                 2   1.008    CFH     5434         59049        step=13 
  {3,5,11,12,17}                 1   1.003    CFH     99           1331         step=16 
  {3,5,11,12,17}                 2   1.003    CFH     4677         59049        step=15 
  {3,5,11,13,14}                 1   1.01     CFH     15           121          step=13 
  {3,5,11,13,14}                 2   1.01     CFH     2993         28561        step=13 
  {3,5,11,13,15}                 1   1.005    CFH     10           81           step=14 
  {3,5,11,13,15}                 2   1.005    CFH     6128         28561        step=15 
  {3,5,11,13,16}                 1   1        S-unit  7            11           (3,5) 
  {3,5,11,13,16}                 2   1        S-unit  1197         1331         (3,5) 
  {3,5,12,13,14}                 1   1.001    CFH     11           81           step=17 
  {3,5,12,13,14}                 2   1.001    CFH     18500        28561        step=19 
  {3,6,7,8,9}                    1   1.135    CFH     5            27           step=6 
  {3,6,7,8,9}                    2   1.135    CFH     3112         32768        step=8 
  {3,6,7,8,10}                   1   1.121    CFH     5            36           step=7 
  {3,6,7,8,10}                   2   1.121    CFH     2519         4096         step=7 
  {3,6,7,8,11}                   1   1.11     CFH     5            36           step=8 
  {3,6,7,8,11}                   2   1.11     CFH     2463         4096         step=8 
  {3,6,7,8,12}                   1   1.1      CFH     5            36           step=8 
  {3,6,7,8,12}                   2   1.1      CFH     3534         32768        step=8 
  {3,6,7,8,13}                   1   1.093    CFH     5            36           step=8 
  {3,6,7,8,13}                   2   1.093    CFH     2409         4096         step=9 
  {3,6,7,8,14}                   1   1.086    CFH     5            14           step=9 
  {3,6,7,8,14}                   2   1.086    CFH     3570         32768        step=8 
  {3,6,7,8,15}                   1   1.081    CFH     5            15           step=9 
  {3,6,7,8,15}                   2   1.081    CFH     4120         32768        step=8 
  {3,6,7,8,16}                   1   1.076    CFH     5            16           step=9 
  {3,6,7,8,16}                   2   1.076    CFH     6781         32768        step=8 
  {3,6,7,8,17}                   1   1.072    CFH     5            17           step=9 
  {3,6,7,8,17}                   2   1.072    CFH     4408         32768        step=8 
  {3,6,7,8,18}                   1   1.068    CFH     5            18           step=8 
  {3,6,7,8,18}                   2   1.068    CFH     3148         32768        step=9 
  {3,6,7,8,19}                   1   1.065    CFH     5            19           step=8 
  {3,6,7,8,19}                   2   1.065    CFH     6498         32768        step=9 
  {3,6,7,8,20}                   1   1.062    CFH     5            20           step=8 
  {3,6,7,8,20}                   2   1.062    CFH     4344         7776         step=10 
  {3,6,7,9,10}                   1   1.103    CFH     14           36           step=8 
  {3,6,7,9,10}                   2   1.103    CFH     9242         46656        step=7 
  {3,6,7,9,11}                   1   1.092    CFH     8            36           step=8 
  {3,6,7,9,11}                   2   1.092    CFH     10041        46656        step=7 
  {3,6,7,9,12}                   1   1.083    CFH     53           144          step=9 
  {3,6,7,9,12}                   2   1.083    CFH     25332        117649       step=8 
  {3,6,7,9,13}                   1   1.075    CFH     17           36           step=8 
  {3,6,7,9,13}                   2   1.075    CFH     9114         28561        step=8 
  {3,6,7,9,14}                   1   1.069    CFH     11           36           step=8 
  {3,6,7,9,14}                   2   1.069    CFH     10221        38416        step=7 
  {3,6,7,9,15}                   1   1.063    CFH     53           216          step=7 
  {3,6,7,9,15}                   2   1.063    CFH     20121        117649       step=9 
  {3,6,7,9,16}                   1   1.058    CFH     20           36           step=10 
  {3,6,7,9,16}                   2   1.058    CFH     12946        117649       step=9 
  {3,6,7,9,17}                   1   1.054    CFH     14           36           step=10 
  {3,6,7,9,17}                   2   1.054    CFH     14586        83521        step=10 
  {3,6,7,9,18}                   1   1.05     CFH     53           216          step=8 
  {3,6,7,9,18}                   2   1.05     CFH     71925        279936       step=10 
  {3,6,7,9,19}                   1   1.047    CFH     23           216          step=9 
  {3,6,7,9,19}                   2   1.047    CFH     15452        117649       step=10 
  {3,6,7,9,20}                   1   1.044    CFH     17           36           step=10 
  {3,6,7,9,20}                   2   1.044    CFH     16881        117649       step=9 
  {3,6,7,10,11}                  1   1.078    CFH     8            36           step=8 
  {3,6,7,10,11}                  2   1.078    CFH     2392         7776         step=8 
  {3,6,7,10,12}                  1   1.069    CFH     14           36           step=8 
  {3,6,7,10,12}                  2   1.069    CFH     9160         46656        step=8 
  {3,6,7,10,13}                  1   1.061    CFH     24           100          step=11 
  {3,6,7,10,13}                  2   1.061    CFH     2301         7776         step=9 
  {3,6,7,10,14}                  1   1.055    CFH     38           100          step=10 
  {3,6,7,10,14}                  2   1.055    CFH     7267         38416        step=9 
  {3,6,7,10,15}                  1   1.049    CFH     14           36           step=9 
  {3,6,7,10,15}                  2   1.049    CFH     7981         46656        step=8 
  {3,6,7,10,16}                  1   1.044    CFH     57           1000         step=10 
  {3,6,7,10,16}                  2   1.044    CFH     6098         46656        step=8 
  {3,6,7,10,17}                  1   1.04     CFH     41           289          step=11 
  {3,6,7,10,17}                  2   1.04     CFH     7577         46656        step=8 
  {3,6,7,10,18}                  1   1.037    CFH     14           36           step=11 
  {3,6,7,10,18}                  2   1.037    CFH     8756         46656        step=8 
  {3,6,7,10,19}                  1   1.033    CFH     60           343          step=11 
  {3,6,7,10,19}                  2   1.033    CFH     9306         46656        step=9 
  {3,6,7,10,20}                  1   1.03     CFH     41           343          step=11 
  {3,6,7,10,20}                  2   1.03     CFH     8913         46656        step=10 
  {3,6,7,11,12}                  1   1.058    CFH     8            36           step=9 
  {3,6,7,11,12}                  2   1.058    CFH     15444        46656        step=9 
  {3,6,7,11,13}                  1   1.05     CFH     8            36           step=9 
  {3,6,7,11,13}                  2   1.05     CFH     2929         7776         step=10 
  {3,6,7,11,14}                  1   1.044    CFH     8            36           step=9 
  {3,6,7,11,14}                  2   1.044    CFH     3043         7776         step=10 
  {3,6,7,11,15}                  1   1.038    CFH     8            36           step=9 
  {3,6,7,11,15}                  2   1.038    CFH     6993         46656        step=10 
  {3,6,7,11,16}                  1   1.033    CFH     8            36           step=11 
  {3,6,7,11,16}                  2   1.033    CFH     3736         7776         step=11 
  {3,6,7,11,17}                  1   1.029    CFH     8            36           step=11 
  {3,6,7,11,17}                  2   1.029    CFH     8421         46656        step=9 
  {3,6,7,11,18}                  1   1.025    CFH     8            36           step=11 
  {3,6,7,11,18}                  2   1.025    CFH     9555         46656        step=9 
  {3,6,7,11,19}                  1   1.022    CFH     8            36           step=12 
  {3,6,7,11,19}                  2   1.022    CFH     8126         46656        step=9 
  {3,6,7,11,20}                  1   1.019    CFH     28           121          step=11 
  {3,6,7,11,20}                  2   1.019    CFH     9366         46656        step=12 
  {3,6,7,12,13}                  1   1.041    CFH     17           36           step=9 
  {3,6,7,12,13}                  2   1.041    CFH     4263         28561        step=10 
  {3,6,7,12,14}                  1   1.034    CFH     11           36           step=10 
  {3,6,7,12,14}                  2   1.034    CFH     4830         38416        step=10 
  {3,6,7,12,15}                  1   1.029    CFH     53           1296         step=10 
  {3,6,7,12,15}                  2   1.029    CFH     20184        117649       step=10 
  {3,6,7,12,16}                  1   1.024    CFH     20           36           step=11 
  {3,6,7,12,16}                  2   1.024    CFH     6124         46656        step=11 
  {3,6,7,12,17}                  1   1.02     CFH     14           36           step=13 
  {3,6,7,12,17}                  2   1.02     CFH     14532        46656        step=12 
  {3,6,7,12,18}                  1   1.016    CFH     53           324          step=13 
  {3,6,7,12,18}                  2   1.016    CFH     26520        104976       step=12 
  {3,6,7,12,19}                  1   1.013    CFH     23           36           step=13 
  {3,6,7,12,19}                  2   1.013    CFH     15523        46656        step=13 
  {3,6,7,12,20}                  1   1.01     CFH     17           36           step=13 
  {3,6,7,12,20}                  2   1.01     CFH     16539        46656        step=13 
  {3,6,7,13,14}                  1   1.027    CFH     11           36           step=10 
  {3,6,7,13,14}                  2   1.027    CFH     4243         28561        step=11 
  {3,6,7,13,15}                  1   1.021    CFH     17           36           step=12 
  {3,6,7,13,15}                  2   1.021    CFH     5749         28561        step=12 
  {3,6,7,13,16}                  1   1.017    CFH     190          1296         step=11 
  {3,6,7,13,16}                  2   1.017    CFH     5357         28561        step=13 
  {3,6,7,13,17}                  1   1.013    CFH     41           289          step=14 
  {3,6,7,13,17}                  2   1.013    CFH     6252         28561        step=13 
  {3,6,7,13,18}                  1   1.009    CFH     17           36           step=14 
  {3,6,7,13,18}                  2   1.009    CFH     9897         28561        step=13 
  {3,6,7,13,19}                  1   1.006    CFH     190          343          step=15 
  {3,6,7,13,19}                  2   1.006    CFH     8773         28561        step=16 
  {3,6,7,13,20}                  1   1.003    CFH     210          343          step=18 
  {3,6,7,13,20}                  2   1.003    CFH     8952         28561        step=18 
  {3,6,7,14,15}                  1   1.015    CFH     11           36           step=14 
  {3,6,7,14,15}                  2   1.015    CFH     20460        117649       step=12 
  {3,6,7,14,16}                  1   1.01     CFH     11           36           step=14 
  {3,6,7,14,16}                  2   1.01     CFH     7459         38416        step=13 
  {3,6,7,14,17}                  1   1.006    CFH     28           289          step=16 
  {3,6,7,14,17}                  2   1.006    CFH     10131        38416        step=13 
  {3,6,7,14,18}                  1   1.002    CFH     11           36           step=18 
  {3,6,7,14,18}                  2   1.002    CFH     10059        38416        step=17 
  {3,6,7,15,16}                  1   1.005    CFH     20           1296         step=15 
