# unified_batch: max_base=15, sizes [3, 5], k in [1, 2]
# 2230 coprime BaseSets enumerated
# A                              k   R        route   c*           T*           extra       
  {3,4,5,13,14}                  2   1.244    CFH     1136         2744         step=7 
  {3,4,5,13,15}                  1   1.238    CFH     11           64           step=6 
  {3,4,5,13,15}                  2   1.238    CFH     977          3125         step=7 
  {3,4,5,14,15}                  1   1.232    CFH     11           64           step=7 
  {3,4,5,14,15}                  2   1.232    CFH     842          2744         step=5 
  {3,4,6,7,8}                    1   1.343    CFH     5            16           step=6 
  {3,4,6,7,8}                    2   1.343    CFH     574          1024         step=6 
  {3,4,6,7,9}                    1   1.325    CFH     8            16           step=7 
  {3,4,6,7,9}                    2   1.325    CFH     420          1024         step=5 
  {3,4,6,7,10}                   1   1.311    CFH     8            10           step=7 
  {3,4,6,7,10}                   2   1.311    CFH     1013         4096         step=6 
  {3,4,6,7,11}                   1   1.3      CFH     8            11           step=6 
  {3,4,6,7,11}                   2   1.3      CFH     541          1024         step=5 
  {3,4,6,7,12}                   1   1.291    CFH     8            12           step=6 
  {3,4,6,7,12}                   2   1.291    CFH     442          1024         step=6 
  {3,4,6,7,13}                   1   1.283    CFH     21           36           step=5 
  {3,4,6,7,13}                   2   1.283    CFH     478          1024         step=6 
  {3,4,6,7,14}                   1   1.277    CFH     8            36           step=5 
  {3,4,6,7,14}                   2   1.277    CFH     1029         2744         step=7 
  {3,4,6,7,15}                   1   1.271    CFH     8            36           step=4 
  {3,4,6,7,15}                   2   1.271    CFH     1272         3375         step=7 
  {3,4,6,8,9}                    1   1.301    CFH     5            16           step=7 
  {3,4,6,8,9}                    2   1.301    CFH     1086         4096         step=5 
  {3,4,6,8,10}                   1   1.287    CFH     5            10           step=7 
  {3,4,6,8,10}                   2   1.287    CFH     1186         4096         step=5 
  {3,4,6,8,11}                   1   1.276    CFH     5            11           step=7 
  {3,4,6,8,11}                   2   1.276    CFH     743          4096         step=5 
  {3,4,6,8,12}                   1   1.267    CFH     5            12           step=7 
  {3,4,6,8,12}                   2   1.267    CFH     1086         4096         step=5 
  {3,4,6,8,13}                   1   1.26     CFH     5            13           step=7 
  {3,4,6,8,13}                   2   1.26     CFH     1019         4096         step=5 
  {3,4,6,8,14}                   1   1.253    CFH     5            14           step=7 
  {3,4,6,8,14}                   2   1.253    CFH     995          2744         step=6 
  {3,4,6,8,15}                   1   1.248    CFH     5            15           step=7 
  {3,4,6,8,15}                   2   1.248    CFH     1311         3375         step=5 
  {3,4,6,9,10}                   1   1.269    CFH     11           36           step=5 
  {3,4,6,9,10}                   2   1.269    CFH     1122         4096         step=5 
  {3,4,6,9,11}                   1   1.258    CFH     8            36           step=5 
  {3,4,6,9,11}                   2   1.258    CFH     1095         4096         step=6 
  {3,4,6,9,12}                   1   1.249    CFH     17           36           step=6 
  {3,4,6,9,12}                   2   1.249    CFH     2535         46656        step=4 
  {3,4,6,9,13}                   1   1.242    CFH     14           36           step=6 
  {3,4,6,9,13}                   2   1.242    CFH     1200         4096         step=6 
  {3,4,6,9,14}                   1   1.235    CFH     11           36           step=7 
  {3,4,6,9,14}                   2   1.235    CFH     1165         2744         step=6 
  {3,4,6,9,15}                   1   1.23     CFH     17           36           step=8 
  {3,4,6,9,15}                   2   1.23     CFH     1968         46656        step=5 
  {3,4,6,10,11}                  1   1.244    CFH     8            36           step=6 
  {3,4,6,10,11}                  2   1.244    CFH     1159         4096         step=6 
  {3,4,6,10,12}                  1   1.235    CFH     11           36           step=7 
  {3,4,6,10,12}                  2   1.235    CFH     1263         4096         step=7 
  {3,4,6,10,13}                  1   1.228    CFH     24           36           step=7 
  {3,4,6,10,13}                  2   1.228    CFH     1219         4096         step=6 
  {3,4,6,10,14}                  1   1.221    CFH     11           36           step=8 
  {3,4,6,10,14}                  2   1.221    CFH     1234         2744         step=7 
  {3,4,6,10,15}                  1   1.216    CFH     11           36           step=8 
  {3,4,6,10,15}                  2   1.216    CFH     1311         3375         step=6 
  {3,4,6,11,12}                  1   1.224    CFH     8            36           step=8 
  {3,4,6,11,12}                  2   1.224    CFH     1171         4096         step=7 
  {3,4,6,11,13}                  1   1.217    CFH     8            36           step=8 
  {3,4,6,11,13}                  2   1.217    CFH     1198         4096         step=6 
  {3,4,6,11,14}                  1   1.21     CFH     8            36           step=8 
  {3,4,6,11,14}                  2   1.21     CFH     1164         2744         step=7 
  {3,4,6,11,15}                  1   1.205    CFH     8            36           step=8 
  {3,4,6,11,15}                  2   1.205    CFH     1536         3375         step=7 
  {3,4,6,12,13}                  1   1.208    CFH     14           36           step=8 
  {3,4,6,12,13}                  2   1.208    CFH     1930         4096         step=7 
  {3,4,6,12,14}                  1   1.201    CFH     11           36           step=8 
  {3,4,6,12,14}                  2   1.201    CFH     1379         2744         step=7 
  {3,4,6,12,15}                  1   1.196    CFH     17           36           step=8 
  {3,4,6,12,15}                  2   1.196    CFH     2031         3375         step=7 
  {3,4,6,13,14}                  1   1.194    CFH     11           36           step=8 
  {3,4,6,13,14}                  2   1.194    CFH     2432         2744         step=7 
  {3,4,6,13,15}                  1   1.188    CFH     14           36           step=8 
  {3,4,6,13,15}                  2   1.188    CFH     2416         3375         step=7 
  {3,4,6,14,15}                  1   1.182    CFH     11           36           step=8 
  {3,4,6,14,15}                  2   1.182    CFH     2461         38416        step=5 
  {3,4,7,8,9}                    1   1.268    CFH     6            16           step=7 
  {3,4,7,8,9}                    2   1.268    CFH     951          4096         step=6 
  {3,4,7,8,10}                   1   1.254    CFH     6            10           step=8 
  {3,4,7,8,10}                   2   1.254    CFH     834          4096         step=7 
  {3,4,7,8,11}                   1   1.243    CFH     6            11           step=7 
  {3,4,7,8,11}                   2   1.243    CFH     1090         4096         step=7 
  {3,4,7,8,12}                   1   1.234    CFH     6            12           step=7 
  {3,4,7,8,12}                   2   1.234    CFH     1095         4096         step=7 
  {3,4,7,8,13}                   1   1.226    CFH     6            13           step=7 
  {3,4,7,8,13}                   2   1.226    CFH     1186         4096         step=6 
  {3,4,7,8,14}                   1   1.22     CFH     6            14           step=7 
  {3,4,7,8,14}                   2   1.22     CFH     930          2744         step=7 
  {3,4,7,8,15}                   1   1.214    CFH     6            15           step=7 
  {3,4,7,8,15}                   2   1.214    CFH     1095         3375         step=7 
  {3,4,7,9,10}                   1   1.236    CFH     15           49           step=5 
  {3,4,7,9,10}                   2   1.236    CFH     1135         4096         step=7 
  {3,4,7,9,11}                   1   1.225    CFH     17           49           step=5 
  {3,4,7,9,11}                   2   1.225    CFH     1616         4096         step=7 
  {3,4,7,9,12}                   1   1.216    CFH     17           49           step=5 
  {3,4,7,9,12}                   2   1.216    CFH     1279         4096         step=7 
  {3,4,7,9,13}                   1   1.208    CFH     15           49           step=5 
  {3,4,7,9,13}                   2   1.208    CFH     2312         4096         step=7 
  {3,4,7,9,14}                   1   1.202    CFH     15           49           step=5 
  {3,4,7,9,14}                   2   1.202    CFH     2607         2744         step=7 
  {3,4,7,9,15}                   1   1.196    CFH     17           49           step=5 
  {3,4,7,9,15}                   2   1.196    CFH     1279         3375         step=7 
  {3,4,7,10,11}                  1   1.211    CFH     8            49           step=5 
  {3,4,7,10,11}                  2   1.211    CFH     1168         4096         step=7 
  {3,4,7,10,12}                  1   1.202    CFH     18           49           step=5 
  {3,4,7,10,12}                  2   1.202    CFH     1785         4096         step=7 
  {3,4,7,10,13}                  1   1.194    CFH     18           49           step=5 
  {3,4,7,10,13}                  2   1.194    CFH     1035         4096         step=7 
  {3,4,7,10,14}                  1   1.188    CFH     15           49           step=6 
  {3,4,7,10,14}                  2   1.188    CFH     3271         10000        step=6 
  {3,4,7,10,15}                  1   1.183    CFH     8            49           step=7 
  {3,4,7,10,15}                  2   1.183    CFH     1095         3375         step=7 
  {3,4,7,11,12}                  1   1.191    CFH     17           49           step=5 
  {3,4,7,11,12}                  2   1.191    CFH     1442         4096         step=7 
  {3,4,7,11,13}                  1   1.183    CFH     8            49           step=7 
  {3,4,7,11,13}                  2   1.183    CFH     1346         4096         step=7 
  {3,4,7,11,14}                  1   1.177    CFH     8            49           step=7 
  {3,4,7,11,14}                  2   1.177    CFH     1165         2744         step=7 
  {3,4,7,11,15}                  1   1.171    CFH     17           49           step=7 
  {3,4,7,11,15}                  2   1.171    CFH     1520         3375         step=7 
  {3,4,7,12,13}                  1   1.174    CFH     18           49           step=7 
  {3,4,7,12,13}                  2   1.174    CFH     1968         16384        step=5 
  {3,4,7,12,14}                  1   1.168    CFH     8            49           step=7 
  {3,4,7,12,14}                  2   1.168    CFH     1981         16384        step=5 
  {3,4,7,12,15}                  1   1.162    CFH     33           144          step=6 
  {3,4,7,12,15}                  2   1.162    CFH     2024         3375         step=7 
  {3,4,7,13,14}                  1   1.16     CFH     15           49           step=7 
  {3,4,7,13,14}                  2   1.16     CFH     2340         16384        step=5 
  {3,4,7,13,15}                  1   1.155    CFH     21           49           step=7 
  {3,4,7,13,15}                  2   1.155    CFH     2423         3375         step=7 
  {3,4,7,14,15}                  1   1.148    CFH     8            49           step=8 
  {3,4,7,14,15}                  2   1.148    CFH     2423         2744         step=7 
  {3,4,8,9,10}                   1   1.212    CFH     6            64           step=5 
  {3,4,8,9,10}                   2   1.212    CFH     1123         4096         step=5 
  {3,4,8,9,11}                   1   1.201    CFH     10           64           step=5 
  {3,4,8,9,11}                   2   1.201    CFH     2282         14641        step=7 
  {3,4,8,9,12}                   1   1.192    CFH     78           144          step=7 
  {3,4,8,9,12}                   2   1.192    CFH     4019         16384        step=7 
  {3,4,8,9,13}                   1   1.185    CFH     14           169          step=7 
  {3,4,8,9,13}                   2   1.185    CFH     2940         16384        step=7 
  {3,4,8,9,14}                   1   1.178    CFH     10           64           step=4 
  {3,4,8,9,14}                   2   1.178    CFH     2894         16384        step=7 
  {3,4,8,9,15}                   1   1.173    CFH     14           225          step=6 
  {3,4,8,9,15}                   2   1.173    CFH     7061         16384        step=7 
  {3,4,8,10,11}                  1   1.187    CFH     6            64           step=5 
  {3,4,8,10,11}                  2   1.187    CFH     1071         4096         step=7 
  {3,4,8,10,12}                  1   1.178    CFH     6            64           step=5 
  {3,4,8,10,12}                  2   1.178    CFH     1698         4096         step=7 
  {3,4,8,10,13}                  1   1.171    CFH     6            64           step=5 
  {3,4,8,10,13}                  2   1.171    CFH     1187         4096         step=6 
  {3,4,8,10,14}                  1   1.164    CFH     6            64           step=5 
  {3,4,8,10,14}                  2   1.164    CFH     1251         2744         step=7 
  {3,4,8,10,15}                  1   1.159    CFH     6            64           step=4 
  {3,4,8,10,15}                  2   1.159    CFH     3282         10000        step=7 
  {3,4,8,11,12}                  1   1.167    CFH     10           64           step=5 
  {3,4,8,11,12}                  2   1.167    CFH     3074         14641        step=5 
  {3,4,8,11,13}                  1   1.16     CFH     10           64           step=5 
  {3,4,8,11,13}                  2   1.16     CFH     1167         4096         step=7 
  {3,4,8,11,14}                  1   1.153    CFH     10           64           step=5 
  {3,4,8,11,14}                  2   1.153    CFH     2195         14641        step=6 
  {3,4,8,11,15}                  1   1.148    CFH     10           64           step=5 
  {3,4,8,11,15}                  2   1.148    CFH     2754         14641        step=7 
  {3,4,8,12,13}                  1   1.15     CFH     82           512          step=6 
  {3,4,8,12,13}                  2   1.15     CFH     2875         16384        step=5 
  {3,4,8,12,14}                  1   1.144    CFH     10           64           step=6 
  {3,4,8,12,14}                  2   1.144    CFH     3074         16384        step=5 
  {3,4,8,12,15}                  1   1.139    CFH     14           64           step=7 
  {3,4,8,12,15}                  2   1.139    CFH     3299         16384        step=7 
  {3,4,8,13,14}                  1   1.136    CFH     10           64           step=7 
  {3,4,8,13,14}                  2   1.136    CFH     2683         16384        step=6 
  {3,4,8,13,15}                  1   1.131    CFH     14           64           step=7 
  {3,4,8,13,15}                  2   1.131    CFH     3084         16384        step=7 
  {3,4,8,14,15}                  1   1.125    CFH     10           64           step=7 
  {3,4,8,14,15}                  2   1.125    CFH     3438         16384        step=7 
  {3,4,9,10,11}                  1   1.169    CFH     8            64           step=5 
  {3,4,9,10,11}                  2   1.169    CFH     1864         4096         step=7 
  {3,4,9,10,12}                  1   1.16     CFH     11           64           step=5 
  {3,4,9,10,12}                  2   1.16     CFH     1806         4096         step=7 
  {3,4,9,10,13}                  1   1.153    CFH     24           100          step=8 
  {3,4,9,10,13}                  2   1.153    CFH     2020         4096         step=7 
  {3,4,9,10,14}                  1   1.146    CFH     15           100          step=8 
  {3,4,9,10,14}                  2   1.146    CFH     2044         10000        step=8 
  {3,4,9,10,15}                  1   1.141    CFH     11           64           step=6 
  {3,4,9,10,15}                  2   1.141    CFH     1284         3375         step=7 
  {3,4,9,11,12}                  1   1.149    CFH     74           121          step=8 
  {3,4,9,11,12}                  2   1.149    CFH     2426         14641        step=7 
  {3,4,9,11,13}                  1   1.142    CFH     10           64           step=5 
